stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000037,2024-01-02,8.396,8239101,0.01367,3278947063.03,,,-0.003356
000037,2024-01-03,8.615,9325700,0.01547,3354936896.58,,,-0.003356
000037,2024-01-04,8.565,6527200,0.01083,3335941242.6,,,-0.003356
000037,2024-01-05,8.426,4722600,0.00783,3288494101.6,,,-0.003356
000037,2024-01-08,8.246,4027300,0.00668,3222577001.55,,,-0.003356
000037,2024-01-09,8.276,3699500,0.00614,3230421264.21,,,-0.003356
000037,2024-01-10,8.146,3111600,0.00516,3183812947.54,,,-0.003356
000037,2024-01-11,8.296,3848900,0.00639,3232400764.92,,,-0.003356
000037,2024-01-12,8.505,10308400,0.0171,3310578648.66,,,-0.003356
000037,2024-01-15,8.515,7066328,0.01172,3314005880.52,,,-0.003356
000037,2024-01-16,8.366,8804501,0.01461,3260922997.71,,,-0.003356
000037,2024-01-17,9.203,23716802,0.03935,3567279692.6,,,-0.003356
000037,2024-01-18,8.884,49899652,0.08278,3442376718.41,,,-0.003356
000037,2024-01-19,9.134,54704168,0.09076,3529428112.88,,,-0.003356
000037,2024-01-22,9.183,46878692,0.07777,3524505015.82,,,-0.003356
000037,2024-01-23,9.223,36702947,0.06089,3535734486.31,,,-0.003356
000037,2024-01-24,9.492,47340970,0.07854,3643472026.99,,,-0.003356
000037,2024-01-25,9.881,65153907,0.10809,3790145421.02,,,-0.003356
000037,2024-01-26,9.283,45466396,0.07543,3572604636.54,,,-0.003356
000037,2024-01-29,10.21,32750401,0.05433,3909696781.49,,,-0.003356
000037,2024-01-30,11.227,20289873,0.03366,4269661842.62,,,-0.003356
000037,2024-01-31,10.18,99182888,0.16455,3882265865.59,,,-0.003356
000037,2024-02-01,9.163,52639400,0.08733,3529386138.03,,,-0.003356
000037,2024-02-02,8.246,30101100,0.04994,3212459951.63,,,-0.003356
000037,2024-02-05,7.418,28681200,0.04758,2919403755.43,,,-0.003356
000037,2024-02-06,7.129,35651651,0.05915,2830783057.33,,,-0.003356
000037,2024-02-07,6.491,32688644,0.05423,2611373827.7,,,-0.003356
000037,2024-02-08,6.91,29053285,0.0482,2763453719.03,,,-0.003356
000037,2024-02-19,7.379,29890160,0.04959,2922476836.73,,,-0.003356
000037,2024-02-20,7.269,21882841,0.0363,2885385272.29,,,-0.003356
000037,2024-02-21,7.448,28489741,0.04727,2948634558.1,,,-0.003356
000037,2024-02-22,7.668,23993714,0.03981,3027949041.73,,,-0.003356
000037,2024-02-23,7.787,24915789,0.04134,3063976981.51,,,-0.003356
000037,2024-02-26,7.787,24485307,0.04062,3063939090.49,,,-0.003356
000037,2024-02-27,7.987,20440752,0.03391,3134079552.19,,,-0.003356
000037,2024-02-28,7.498,31562455,0.05236,2965579965.6,,,-0.003356
000037,2024-02-29,7.857,20991351,0.03483,3094429935.97,,,-0.003356
000037,2024-03-01,7.857,16711880,0.02773,3089716926.82,,,-0.003356
000037,2024-03-04,7.847,13200000,0.0219,3081349938.16,,,-0.003356
000037,2024-03-05,7.887,15034600,0.02494,3095056615.51,,,-0.003356
000037,2024-03-06,8.057,22876500,0.03795,3157498556.82,,,-0.003356
000037,2024-03-07,8.436,36309060,0.06024,3288678629.28,,,-0.003356
000037,2024-03-08,8.266,22097495,0.03666,3228669268.32,,,-0.003356
000037,2024-03-11,8.426,20087103,0.03333,3287607581.47,,,-0.003356
000037,2024-03-12,8.186,20978970,0.0348,3203760376.17,,,-0.003356
000037,2024-03-13,8.186,13015616,0.02159,3198670486.33,,,-0.003356
000037,2024-03-14,8.156,12986414,0.02154,3191237254.7,,,-0.003356
000037,2024-03-15,8.166,11659300,0.01934,3197020442.41,,,-0.003356
000037,2024-03-18,8.206,11644302,0.01932,3207992671.0,,,-0.003356
000037,2024-03-19,8.156,12682514,0.02104,3193784347.28,,,-0.003356
000037,2024-03-20,8.416,21238001,0.03523,3286458372.03,,,-0.003356
000037,2024-03-21,8.356,13974400,0.02318,3261298324.0,,,-0.003356
000037,2024-03-22,8.555,31817416,0.05279,3329462419.97,,,-0.003356
000037,2024-03-25,8.934,36998805,0.06138,3467751739.69,,,-0.003356
000037,2024-03-26,9.453,50818500,0.08431,3650811743.8,,,-0.003356
000037,2024-03-27,9.034,31760115,0.05269,3501251538.26,,,-0.003356
000037,2024-03-28,9.074,25915569,0.04299,3519554408.69,,,-0.003356
000037,2024-03-29,8.844,22352700,0.03708,3441447619.14,,,-0.003356
000037,2024-04-01,8.934,18073412,0.02998,3476693329.87,3721.105456,3.927501,-0.003356
000037,2024-04-02,9.313,32705381,0.05426,3612815808.0,3721.105456,3.927501,-0.003356
000037,2024-04-03,9.223,18863312,0.03129,3582070782.66,3721.105456,3.927501,-0.003356
000037,2024-04-08,10.151,47985893,0.07961,3911561252.26,3721.105456,3.927501,-0.003356
000037,2024-04-09,9.792,59079332,0.09801,3779908152.54,3721.105456,3.927501,-0.003356
000037,2024-04-10,10.19,51009800,0.08463,3920294058.37,3721.105456,3.927501,-0.003356
000037,2024-04-11,9.991,34814452,0.05776,3847607921.85,3721.105456,3.927501,-0.003356
000037,2024-04-12,9.443,33674475,0.05587,3656225676.72,3721.105456,3.927501,-0.001441
000037,2024-04-15,9.812,44981775,0.07463,3777003591.92,3721.105456,3.927501,-0.001441
000037,2024-04-16,8.834,27773500,0.04608,3416756314.74,3721.105456,3.927501,-0.001441
000037,2024-04-17,8.844,29810936,0.04946,3427248712.97,3721.105456,3.927501,-0.001441
000037,2024-04-18,8.336,28871893,0.0479,3249695477.35,3721.105456,3.927501,-0.001441
000037,2024-04-19,8.555,23123480,0.03836,3321899589.9,3721.105456,3.927501,-0.001441
000037,2024-04-22,8.356,13960900,0.02316,3249256811.29,3721.105456,3.927501,-0.001441
000037,2024-04-23,8.136,15222200,0.02525,3177052712.33,3721.105456,3.927501,-0.001441
000037,2024-04-24,8.176,11344410,0.01882,3190571718.57,3721.105456,3.927501,-0.001441
000037,2024-04-25,8.595,22697420,0.03766,3342789183.09,3721.105456,3.927501,-0.001441
000037,2024-04-26,8.545,17271601,0.02865,3323601596.86,3721.105456,3.927501,-0.001441
000037,2024-04-29,8.894,22618301,0.03752,3446971353.73,3721.105456,3.927501,-0.001441
000037,2024-04-30,8.794,14553900,0.02415,3408442815.44,3721.105456,3.927501,-0.001441
000037,2024-05-06,9.213,25906020,0.04298,3555961337.28,3721.105456,3.927501,-0.001441
000037,2024-05-07,9.273,19411601,0.0322,3573552864.52,3721.105456,3.927501,-0.001441
000037,2024-05-08,9.303,30363796,0.05037,3583605254.62,3721.105456,3.927501,-0.001441
000037,2024-05-09,9.343,19320100,0.03205,3607174239.0,3721.105456,3.927501,-0.001441
000037,2024-05-10,9.702,36878496,0.06118,3733937127.96,3721.105456,3.927501,-0.001441
000037,2024-05-13,9.702,37730824,0.0626,3729259632.35,3721.105456,3.927501,-0.001441
000037,2024-05-14,9.343,26464178,0.0439,3602766849.47,3721.105456,3.927501,-0.001441
000037,2024-05-15,9.074,21779369,0.03613,3508861663.11,3721.105456,3.927501,-0.001441
000037,2024-05-16,9.094,12909553,0.02142,3518234187.02,3721.105456,3.927501,-0.001441
000037,2024-05-17,9.134,13685439,0.0227,3524855110.47,3721.105456,3.927501,-0.001441
000037,2024-05-20,9.373,19920024,0.03305,3608480192.12,3721.105456,3.927501,-0.001441
000037,2024-05-21,9.183,11950810,0.01983,3539817068.55,3721.105456,3.927501,-0.001441
000037,2024-05-22,9.283,15013600,0.02491,3570961826.94,3721.105456,3.927501,-0.001441
000037,2024-05-23,8.894,16519010,0.02741,3436459902.88,3721.105456,3.927501,-0.001441
000037,2024-05-24,9.333,32357700,0.05368,3590196068.43,3721.105456,3.927501,-0.001441
000037,2024-05-27,9.482,31300294,0.05193,3640728030.51,3721.105456,3.927501,-0.001441
000037,2024-05-28,9.772,38952301,0.06462,3746677745.42,3721.105456,3.927501,-0.001441
000037,2024-05-29,9.413,24235100,0.04021,3624399771.45,3721.105456,3.927501,-0.001441
000037,2024-05-30,8.914,22685698,0.03764,3452505489.71,3721.105456,3.927501,-0.001441
000037,2024-05-31,9.802,62279012,0.10332,3770504790.6,3721.105456,3.927501,-0.001441
000037,2024-06-03,10.17,73570428,0.12206,3890944703.59,3721.105456,3.927501,-0.001441
000037,2024-06-04,9.951,44666634,0.0741,3811666480.95,3721.105456,3.927501,-0.001441
000037,2024-06-05,9.831,25728401,0.04268,3764339460.91,3721.105456,3.927501,-0.001441
000037,2024-06-06,10.819,60760085,0.1008,4104817708.94,3721.105456,3.927501,-0.001441
000037,2024-06-07,10.44,69160717,0.11474,3973513864.79,3721.105456,3.927501,-0.001441
000037,2024-06-11,10.42,40129370,0.06658,3969254448.94,3721.105456,3.927501,-0.001441
000037,2024-06-12,10.549,47733082,0.07919,4015832632.08,3721.105456,3.927501,-0.001441
000037,2024-06-13,11.287,61217298,0.10156,4276237722.41,3721.105456,3.927501,-0.001441
000037,2024-06-14,10.679,51838053,0.086,4064736845.13,3721.105456,3.927501,-0.001441
000037,2024-06-17,10.42,35485900,0.05887,3978984367.08,3721.105456,3.927501,-0.001441
