network,variant,signal_date,horizon,n_stocks,excluded,pearson_ic,spearman_ic
W-attn,alpha_0.00,2025-04-02,5,99,False,-0.024388403337326822,0.007359307359307359
W-attn,alpha_0.00,2025-04-02,20,99,False,0.02528366963257089,0.05459492888064316
W-attn,alpha_0.00,2025-04-10,5,99,False,0.24787653601944026,0.2608534322820037
W-attn,alpha_0.00,2025-04-10,20,99,False,-0.33332774802514875,-0.3658256029684601
W-attn,alpha_0.00,2025-04-17,5,99,False,-0.09802733924804248,-0.05762523191094619
W-attn,alpha_0.00,2025-04-17,20,99,False,-0.30204030178477626,-0.21678416821273963
W-attn,alpha_0.00,2025-04-24,5,99,False,0.13396981325626073,0.19564625850340137
W-attn,alpha_0.00,2025-04-24,20,99,False,-0.16893857849950375,-0.13918367346938776
W-attn,alpha_0.00,2025-05-06,5,99,False,-0.18854404153204815,-0.15729128014842303
W-attn,alpha_0.00,2025-05-06,20,99,False,-0.28611151750550984,-0.2699072356215213
W-attn,alpha_0.00,2025-05-13,5,99,False,0.29399436222446784,0.17361781076066787
W-attn,alpha_0.00,2025-05-13,20,99,False,0.34650654081711857,0.2777241805813234
W-attn,alpha_0.05,2025-04-02,5,99,False,-0.017943716319911426,0.01706864564007421
W-attn,alpha_0.05,2025-04-02,20,99,False,0.034831151449658884,0.06921459492888064
W-attn,alpha_0.05,2025-04-10,5,99,False,0.24650338282711998,0.263030303030303
W-attn,alpha_0.05,2025-04-10,20,99,False,-0.3318740522489311,-0.3614594928880643
W-attn,alpha_0.05,2025-04-17,5,99,False,-0.09777297069318261,-0.05229437229437229
W-attn,alpha_0.05,2025-04-17,20,99,False,-0.30400752513744733,-0.21497835497835494
W-attn,alpha_0.05,2025-04-24,5,99,False,0.1393802864487369,0.19882498453927022
W-attn,alpha_0.05,2025-04-24,20,99,False,-0.16846156828266765,-0.1374891774891775
W-attn,alpha_0.05,2025-05-06,5,99,False,-0.1883515263135422,-0.1538899196042053
W-attn,alpha_0.05,2025-05-06,20,99,False,-0.2862374716213872,-0.26691403834260974
W-attn,alpha_0.05,2025-05-13,5,99,False,0.2959426482862348,0.17476808905380334
W-attn,alpha_0.05,2025-05-13,20,99,False,0.3475619920720773,0.2763883735312307
W-attn,alpha_0.20,2025-04-02,5,99,False,0.0044490725653565325,0.03635126777983921
W-attn,alpha_0.20,2025-04-02,20,99,False,0.06751438705725656,0.10538033395176252
W-attn,alpha_0.20,2025-04-10,5,99,False,0.23887856806565985,0.24084106369820654
W-attn,alpha_0.20,2025-04-10,20,99,False,-0.3229916585171669,-0.3686580086580086
W-attn,alpha_0.20,2025-04-17,5,99,False,-0.09595765795866797,-0.026481137909709337
W-attn,alpha_0.20,2025-04-17,20,99,False,-0.30843644026343325,-0.20552875695732836
W-attn,alpha_0.20,2025-04-24,5,99,False,0.15813342100345695,0.21787260358688926
W-attn,alpha_0.20,2025-04-24,20,99,False,-0.16564837840015406,-0.13855287569573282
W-attn,alpha_0.20,2025-05-06,5,99,False,-0.18669293378030538,-0.14582560296846012
W-attn,alpha_0.20,2025-05-06,20,99,False,-0.2852845191301469,-0.2533580705009276
W-attn,alpha_0.20,2025-05-13,5,99,False,0.3021811568935919,0.17548546691403832
W-attn,alpha_0.20,2025-05-13,20,99,False,0.3502413711473006,0.26951144094001234
W-attn,alpha_0.60,2025-04-02,5,99,False,0.08754103474848747,0.0851948051948052
W-attn,alpha_0.60,2025-04-02,20,99,False,0.18187642547379762,0.2030674087816945
W-attn,alpha_0.60,2025-04-10,5,99,False,0.17137519158651818,0.2036487322201608
W-attn,alpha_0.60,2025-04-10,20,99,False,-0.23702336845545605,-0.2741249226963513
W-attn,alpha_0.60,2025-04-17,5,99,False,-0.07042518633076313,0.06651824366110079
W-attn,alpha_0.60,2025-04-17,20,99,False,-0.27184937119697017,-0.13849103277674704
W-attn,alpha_0.60,2025-04-24,5,99,False,0.2226929605932834,0.23398886827458254
W-attn,alpha_0.60,2025-04-24,20,99,False,-0.13052333712727876,-0.16345083487940626
W-attn,alpha_0.60,2025-05-06,5,99,False,-0.1514652888006019,-0.10387136672850958
W-attn,alpha_0.60,2025-05-06,20,99,False,-0.23993391457099855,-0.21606679035250465
W-attn,alpha_0.60,2025-05-13,5,99,False,0.3019736873558518,0.17132962275819416
W-attn,alpha_0.60,2025-05-13,20,99,False,0.32394602120934424,0.2370439084724799
W-attn,alpha_0.75,2025-04-02,5,99,False,0.12252525455910546,0.11857761286332714
W-attn,alpha_0.75,2025-04-02,20,99,False,0.22603656880697942,0.25243042671614097
W-attn,alpha_0.75,2025-04-10,5,99,False,0.12475790053040212,0.16775510204081634
W-attn,alpha_0.75,2025-04-10,20,99,False,-0.17600006908705193,-0.20394557823129253
W-attn,alpha_0.75,2025-04-17,5,99,False,-0.04712331861959459,0.08144712430426715
W-attn,alpha_0.75,2025-04-17,20,99,False,-0.2164920365904341,-0.0905256648113791
W-attn,alpha_0.75,2025-04-24,5,99,False,0.2380361629724649,0.22656771799628941
W-attn,alpha_0.75,2025-04-24,20,99,False,-0.09522352208857367,-0.14918985776128635
W-attn,alpha_0.75,2025-05-06,5,99,False,-0.1029340378344197,-0.10064316635745206
W-attn,alpha_0.75,2025-05-06,20,99,False,-0.17070709862840414,-0.20196660482374768
W-attn,alpha_0.75,2025-05-13,5,99,False,0.25621926988329696,0.1651329622758194
W-attn,alpha_0.75,2025-05-13,20,99,False,0.2534791247334715,0.20730983302411873
W-attn,b0_alpha_0.40,2025-04-02,5,99,False,0.04216466567870858,0.07118119975262832
W-attn,b0_alpha_0.40,2025-04-02,20,99,False,0.12083648407730115,0.15714285714285714
W-attn,b0_alpha_0.40,2025-04-10,5,99,False,0.21586277865085343,0.2252690166975881
W-attn,b0_alpha_0.40,2025-04-10,20,99,False,-0.29431836153053836,-0.349721706864564
W-attn,b0_alpha_0.40,2025-04-17,5,99,False,-0.08875695074025505,0.019653679653679652
W-attn,b0_alpha_0.40,2025-04-17,20,99,False,-0.30471839454204147,-0.16752009894867034
W-attn,b0_alpha_0.40,2025-04-24,5,99,False,0.18926075201537187,0.24279529993815707
W-attn,b0_alpha_0.40,2025-04-24,20,99,False,-0.1557340188862377,-0.14959802102659245
W-attn,b0_alpha_0.40,2025-05-06,5,99,False,-0.1787041646048708,-0.1374273345701917
W-attn,b0_alpha_0.40,2025-05-06,20,99,False,-0.2763136440872918,-0.2477179962894248
W-attn,b0_alpha_0.40,2025-05-13,5,99,False,0.30943470210690266,0.1788126159554731
W-attn,b0_alpha_0.40,2025-05-13,20,99,False,0.3491229208377441,0.2593568336425479
W-attn,gate_V1,2025-04-02,5,99,False,0.04216466567870858,0.07118119975262832
W-attn,gate_V1,2025-04-02,20,99,False,0.12083648407730115,0.15714285714285714
W-attn,gate_V1,2025-04-10,5,99,False,0.21586277865085343,0.2252690166975881
W-attn,gate_V1,2025-04-10,20,99,False,-0.29431836153053836,-0.349721706864564
W-attn,gate_V1,2025-04-17,5,99,False,-0.08875695074025505,0.019653679653679652
W-attn,gate_V1,2025-04-17,20,99,False,-0.30471839454204147,-0.16752009894867034
W-attn,gate_V1,2025-04-24,5,99,False,0.18926075201537187,0.24279529993815707
W-attn,gate_V1,2025-04-24,20,99,False,-0.1557340188862377,-0.14959802102659245
W-attn,gate_V1,2025-05-06,5,99,False,-0.1787041646048708,-0.1374273345701917
W-attn,gate_V1,2025-05-06,20,99,False,-0.2763136440872918,-0.2477179962894248
W-attn,gate_V1,2025-05-13,5,99,False,0.30943470210690266,0.1788126159554731
W-attn,gate_V1,2025-05-13,20,99,False,0.3491229208377441,0.2593568336425479
W-attn,gate_V2,2025-04-02,5,99,False,0.04216466567870858,0.07118119975262832
W-attn,gate_V2,2025-04-02,20,99,False,0.12083648407730115,0.15714285714285714
W-attn,gate_V2,2025-04-10,5,99,False,0.21586277865085343,0.2252690166975881
W-attn,gate_V2,2025-04-10,20,99,False,-0.29431836153053836,-0.349721706864564
W-attn,gate_V2,2025-04-17,5,99,False,-0.08875695074025505,0.019653679653679652
W-attn,gate_V2,2025-04-17,20,99,False,-0.30471839454204147,-0.16752009894867034
W-attn,gate_V2,2025-04-24,5,99,False,0.18926075201537187,0.24279529993815707
W-attn,gate_V2,2025-04-24,20,99,False,-0.1557340188862377,-0.14959802102659245
W-attn,gate_V2,2025-05-06,5,99,False,-0.1787041646048708,-0.1374273345701917
W-attn,gate_V2,2025-05-06,20,99,False,-0.2763136440872918,-0.2477179962894248
W-attn,gate_V2,2025-05-13,5,99,False,0.30943470210690266,0.1788126159554731
W-attn,gate_V2,2025-05-13,20,99,False,0.3491229208377441,0.2593568336425479
W-attn,gate_V3,2025-04-02,5,99,False,0.04216466567870858,0.07118119975262832
W-attn,gate_V3,2025-04-02,20,99,False,0.12083648407730115,0.15714285714285714
W-attn,gate_V3,2025-04-10,5,99,False,0.21586277865085343,0.2252690166975881
W-attn,gate_V3,2025-04-10,20,99,False,-0.29431836153053836,-0.349721706864564
W-attn,gate_V3,2025-04-17,5,99,False,-0.08875695074025505,0.019653679653679652
W-attn,gate_V3,2025-04-17,20,99,False,-0.30471839454204147,-0.16752009894867034
W-attn,gate_V3,2025-04-24,5,99,False,0.18926075201537187,0.24279529993815707
W-attn,gate_V3,2025-04-24,20,99,False,-0.1557340188862377,-0.14959802102659245
W-attn,gate_V3,2025-05-06,5,99,False,-0.1787041646048708,-0.1374273345701917
