network,variant,horizon,metric,block_trading_days,is_sensitivity,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-attn,alpha_0.00,5,pearson_ic,10,False,0.06081348789712523,0.006783456703303825,0.11484351909094664,0.02922462060655586,6,2,200,42
W-attn,alpha_0.00,5,spearman_ic,10,False,0.07042671614100184,0.01908570397856113,0.11262291280148427,0.025811784942593577,6,2,200,42
W-attn,alpha_0.00,5,pearson_ic,40,False,0.06081348789712523,0.06081348789712523,0.060813487897125235,1.1764181691816808e-17,6,6,200,42
W-attn,alpha_0.00,5,spearman_ic,40,False,0.07042671614100184,0.07042671614100184,0.07042671614100185,2.1798893553293145e-17,6,6,200,42
W-attn,alpha_0.00,5,pearson_ic,5,True,0.06081348789712523,-0.08563504451213151,0.21787165486165497,0.07670728547714152,6,1,200,42
W-attn,alpha_0.00,5,spearman_ic,5,True,0.07042671614100184,-0.054378478664192965,0.19690579262007835,0.06324183149759938,6,1,200,42
W-attn,alpha_0.00,5,pearson_ic,20,True,0.06081348789712523,0.02943935219264035,0.09354920112913398,0.01751953850980882,6,4,200,42
W-attn,alpha_0.00,5,spearman_ic,20,True,0.07042671614100184,0.03858688930117501,0.09887372448979592,0.015691186377841785,6,4,200,42
W-attn,alpha_0.00,20,pearson_ic,10,False,-0.11977132256087486,-0.26374255474212305,0.04870091255577951,0.09478278204850672,6,2,200,42
W-attn,alpha_0.00,20,spearman_ic,10,False,-0.10989692846835704,-0.24626144094001234,0.05160874046588335,0.08285148781511519,6,2,200,42
W-attn,alpha_0.00,20,pearson_ic,40,False,-0.11977132256087486,-0.11977132256087486,-0.11977132256087486,4.173783877823457e-17,6,6,200,42
W-attn,alpha_0.00,20,spearman_ic,40,False,-0.10989692846835704,-0.10989692846835704,-0.10989692846835702,1.6313984732200077e-17,6,6,200,42
W-attn,alpha_0.00,20,pearson_ic,5,True,-0.11977132256087486,-0.3007149787308125,0.12115435584748652,0.10675923083556153,6,1,200,42
W-attn,alpha_0.00,20,spearman_ic,5,True,-0.10989692846835704,-0.2843936817151102,0.08894197072768507,0.09656371808476968,6,1,200,42
W-attn,alpha_0.00,20,pearson_ic,20,True,-0.11977132256087486,-0.23465324802128087,-0.020814971388831024,0.05955184293472017,6,4,200,42
W-attn,alpha_0.00,20,spearman_ic,20,True,-0.10989692846835704,-0.20837646876932575,-0.01919294990723562,0.05226021335012482,6,4,200,42
W-attn,alpha_0.05,5,pearson_ic,10,False,0.06295968403924257,0.008464655400721124,0.11745471267776401,0.02931672825570236,6,2,200,42
W-attn,alpha_0.05,5,spearman_ic,10,False,0.07458462172747887,0.022367295403009694,0.11797686044114619,0.02644354104046248,6,2,200,42
W-attn,alpha_0.05,5,pearson_ic,40,False,0.06295968403924257,0.06295968403924257,0.06295968403924257,0.0,6,6,200,42
W-attn,alpha_0.05,5,spearman_ic,40,False,0.07458462172747887,0.07458462172747886,0.07458462172747887,7.492171350480087e-18,6,6,200,42
W-attn,alpha_0.05,5,pearson_ic,5,True,0.06295968403924257,-0.08568285624997864,0.21891179495953283,0.07671892854796854,6,1,200,42
W-attn,alpha_0.05,5,spearman_ic,5,True,0.07458462172747887,-0.050538033395176256,0.19977530406101832,0.06272764883257724,6,1,200,42
W-attn,alpha_0.05,5,pearson_ic,20,True,0.06295968403924257,0.030965203545112657,0.09536001657252023,0.01758481079936839,6,4,200,42
W-attn,alpha_0.05,5,spearman_ic,20,True,0.07458462172747887,0.04185219542362399,0.10372545609152753,0.016080635442874806,6,4,200,42
W-attn,alpha_0.05,20,pearson_ic,10,False,-0.11803124562811619,-0.2640768041646438,0.05233810843617299,0.09555987039719847,6,2,200,42
W-attn,alpha_0.05,20,spearman_ic,10,False,-0.10587301587301584,-0.2411043599257884,0.0565639558853845,0.08311676053236307,6,2,200,42
W-attn,alpha_0.05,20,pearson_ic,40,False,-0.11803124562811619,-0.11803124562811619,-0.11803124562811618,3.526511207863079e-17,6,6,200,42
W-attn,alpha_0.05,20,spearman_ic,40,False,-0.10587301587301584,-0.10587301587301585,-0.10587301587301584,3.0560282270113054e-17,6,6,200,42
W-attn,alpha_0.05,20,pearson_ic,5,True,-0.11803124562811619,-0.29999421706930657,0.12343233185009256,0.10751549957108453,6,1,200,42
W-attn,alpha_0.05,20,spearman_ic,5,True,-0.10587301587301584,-0.281333694083694,0.09123824984539278,0.09683161894806463,6,1,200,42
W-attn,alpha_0.05,20,pearson_ic,20,True,-0.11803124562811619,-0.2335149158858244,-0.018076474095579664,0.06002172170538849,6,4,200,42
W-attn,alpha_0.05,20,spearman_ic,20,True,-0.10587301587301584,-0.20424458874458853,-0.014700061842918971,0.05239383769477702,6,4,200,42
W-attn,alpha_0.20,5,pearson_ic,10,False,0.07016527113151531,0.014300314092215839,0.12603022817081477,0.029574117353998,6,2,200,42
W-attn,alpha_0.20,5,spearman_ic,10,False,0.08304061018346731,0.035846887239744385,0.1243812100597815,0.025266496745772766,6,2,200,42
W-attn,alpha_0.20,5,pearson_ic,40,False,0.07016527113151531,0.07016527113151531,0.07016527113151531,1.3912612926078192e-17,6,6,200,42
W-attn,alpha_0.20,5,spearman_ic,40,False,0.08304061018346731,0.0830406101834673,0.08304061018346731,5.4774011864009095e-18,6,6,200,42
W-attn,alpha_0.20,5,pearson_ic,5,True,0.07016527113151531,-0.07623738147624057,0.22094800097720318,0.07650961586880614,6,1,200,42
W-attn,alpha_0.20,5,spearman_ic,5,True,0.08304061018346731,-0.03501525458668313,0.19361920222634513,0.05912414525783316,6,1,200,42
W-attn,alpha_0.20,5,pearson_ic,20,True,0.07016527113151531,0.03630535234594011,0.10104587541378039,0.017784741053126798,6,4,200,42
W-attn,alpha_0.20,5,spearman_ic,20,True,0.08304061018346731,0.05526283240568953,0.11198001700680274,0.015339391001731215,6,4,200,42
W-attn,alpha_0.20,20,pearson_ic,10,False,-0.11076753968439067,-0.26382542001372794,0.06477598166046926,0.09773297932032746,6,2,200,42
W-attn,alpha_0.20,20,spearman_ic,10,False,-0.0985343228200371,-0.23561188414759832,0.06762322201607916,0.08470903606100062,6,2,200,42
W-attn,alpha_0.20,20,pearson_ic,40,False,-0.11076753968439067,-0.11076753968439068,-0.11076753968439067,3.118722514291969e-17,6,6,200,42
W-attn,alpha_0.20,20,spearman_ic,40,False,-0.0985343228200371,-0.0985343228200371,-0.09853432282003709,2.1931679919712756e-17,6,6,200,42
W-attn,alpha_0.20,20,pearson_ic,5,True,-0.11076753968439067,-0.29928634940574567,0.1311569572831417,0.1096345550229801,6,1,200,42
W-attn,alpha_0.20,20,spearman_ic,5,True,-0.0985343228200371,-0.2760475675118531,0.10044681508967225,0.09816486434403472,6,1,200,42
W-attn,alpha_0.20,20,pearson_ic,20,True,-0.11076753968439067,-0.2275928823861353,-0.00829428483143596,0.06132099349744925,6,4,200,42
W-attn,alpha_0.20,20,spearman_ic,20,True,-0.0985343228200371,-0.19780318491032758,-0.004254792826221404,0.053364889130297126,6,4,200,42
W-attn,alpha_0.60,5,pearson_ic,10,False,0.09361539985879597,0.0487446401074504,0.1549229737939881,0.029166515704511006,6,2,200,42
W-attn,alpha_0.60,5,spearman_ic,10,False,0.10946815089672231,0.0647976705833849,0.14636569779426922,0.02590061374106473,6,2,200,42
W-attn,alpha_0.60,5,pearson_ic,40,False,0.09361539985879597,0.09361539985879597,0.09361539985879597,0.0,6,6,200,42
W-attn,alpha_0.60,5,spearman_ic,40,False,0.10946815089672231,0.10946815089672231,0.10946815089672234,1.7925147848630354e-17,6,6,200,42
W-attn,alpha_0.60,5,pearson_ic,5,True,0.09361539985879597,-0.035719552833869316,0.23146886553683566,0.06941888056646997,6,1,200,42
W-attn,alpha_0.60,5,spearman_ic,5,True,0.10946815089672231,0.009129767058338505,0.1872940115440115,0.047179846815003236,6,1,200,42
W-attn,alpha_0.60,5,pearson_ic,20,True,0.09361539985879597,0.05896111093399674,0.11890089015713938,0.017970623029533138,6,4,200,42
W-attn,alpha_0.60,5,spearman_ic,20,True,0.10946815089672231,0.08907544836116264,0.13970106679035255,0.01579164561361553,6,4,200,42
W-attn,alpha_0.60,20,pearson_ic,10,False,-0.06225125744459361,-0.2192471284447465,0.10700068618755039,0.09402913708954883,6,2,200,42
W-attn,alpha_0.60,20,spearman_ic,10,False,-0.058670377241805814,-0.18989672232529367,0.09638012780869926,0.07913646177284167,6,2,200,42
W-attn,alpha_0.60,20,pearson_ic,40,False,-0.06225125744459361,-0.062251257444593616,-0.062251257444593595,8.156992366100038e-18,6,6,200,42
W-attn,alpha_0.60,20,spearman_ic,40,False,-0.058670377241805814,-0.058670377241805814,-0.0586703772418058,1.2404871412173042e-17,6,6,200,42
W-attn,alpha_0.60,20,pearson_ic,5,True,-0.06225125744459361,-0.24381001155970397,0.1536393472388999,0.10440166546714526,6,1,200,42
W-attn,alpha_0.60,20,spearman_ic,5,True,-0.058670377241805814,-0.22259420737992167,0.1390160276231705,0.0917045781253068,6,1,200,42
W-attn,alpha_0.60,20,pearson_ic,20,True,-0.06225125744459361,-0.16842436264471614,0.03384129874621612,0.05876610514583434,6,4,200,42
W-attn,alpha_0.60,20,spearman_ic,20,True,-0.058670377241805814,-0.14695141465677158,0.015148423005565875,0.04934927133372586,6,4,200,42
W-attn,alpha_0.75,5,pearson_ic,10,False,0.09858020524854254,0.05142573264508205,0.15179571348894702,0.026668400120666687,6,2,200,42
W-attn,alpha_0.75,5,spearman_ic,10,False,0.10980622552051122,0.06270629767058342,0.14995670995670993,0.026837693170572927,6,2,200,42
W-attn,alpha_0.75,5,pearson_ic,40,False,0.09858020524854254,0.09858020524854251,0.09858020524854254,2.6028115462093544e-17,6,6,200,42
W-attn,alpha_0.75,5,spearman_ic,40,False,0.10980622552051122,0.10980622552051122,0.10980622552051122,1.3912612926078192e-17,6,6,200,42
W-attn,alpha_0.75,5,pearson_ic,5,True,0.09858020524854254,-0.008964372985694328,0.20900549064352433,0.0581584800222311,6,1,200,42
W-attn,alpha_0.75,5,spearman_ic,5,True,0.10980622552051122,0.016673005565862715,0.17671237889095034,0.04397077713930352,6,1,200,42
W-attn,alpha_0.75,5,pearson_ic,20,True,0.09858020524854254,0.06920603115209731,0.12846166239511192,0.016728812599075035,6,4,200,42
W-attn,alpha_0.75,5,spearman_ic,20,True,0.10980622552051122,0.0877056277056277,0.14109952844774276,0.01644475627113871,6,4,200,42
W-attn,alpha_0.75,20,pearson_ic,10,False,-0.029817838809002156,-0.16946633554356877,0.11551679439398733,0.08072616784985671,6,2,200,42
W-attn,alpha_0.75,20,spearman_ic,10,False,-0.030981240981240995,-0.15669119769119771,0.11329416615130898,0.07368102400402078,6,2,200,42
W-attn,alpha_0.75,20,pearson_ic,40,False,-0.029817838809002156,-0.029817838809002156,-0.029817838809002142,7.427302845097959e-18,6,6,200,42
W-attn,alpha_0.75,20,spearman_ic,40,False,-0.030981240981240995,-0.030981240981241,-0.030981240981240988,5.9890930414564505e-18,6,6,200,42
W-attn,alpha_0.75,20,pearson_ic,5,True,-0.029817838809002156,-0.18012429915186942,0.16150574647472263,0.08806704911701298,6,1,200,42
W-attn,alpha_0.75,20,spearman_ic,5,True,-0.030981240981240995,-0.1759243454957741,0.15432529375386522,0.08607634368502806,6,1,200,42
W-attn,alpha_0.75,20,pearson_ic,20,True,-0.029817838809002156,-0.11625254712992839,0.05339626820586828,0.05038003275525847,6,4,200,42
