stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe,ret,mom_5d,mom_20d,mom_60d,vol_20d,vol_60d,turnover_20d,amihud,price_pos,amplitude,gap,hit_limit,abnormal_trd
000021,2024-01-02,15.81,21544498.062999625,0.0138104237989335,24672889769.99996,,,,-0.024676,,,,,,,7.215666126540896e-05,0.2173913043478249,0.0290955091714105,,0,0
000063,2024-01-02,25.6,112461318.0387034,0.0279266793700611,103110374859.99991,,,,-0.033233,,,,,,,1.1437034380840594e-05,0.0215053763440893,0.0363281250000001,,0,0
000089,2024-01-02,6.41,11858000.156584872,0.0057822961994479,13145432550.000011,,,,-0.00311,,,,,,,4.1067543455426994e-05,0.6842105263157907,0.0296411856474258,,0,0
000157,2024-01-02,6.63,36905402.151069164,0.0052228868169852,47046663569.99989,,,,0.015314,,,,,,,6.268659687224887e-05,0.7777777777777772,0.0271493212669682,,0,0
000338,2024-01-02,13.88,49713440.0720118,0.0100063169279269,94155213479.99977,,,,0.01685,,,,,,,2.440787737548043e-05,0.6136363636363649,0.0317002881844381,,0,0
000425,2024-01-02,5.61,75113142.17917405,0.0092502849074123,66288691780.00002,,,,0.027473,,,,,,,6.553381193066515e-05,0.8500000000000026,0.0356506238859178,,0,0
000528,2024-01-02,6.73,11290468.148295708,0.007986313140131,13131656500.00001,,,,-0.001484,,,,,,,1.9491735240384116e-05,0.4285714285714358,0.0104011887072807,,0,0
000625,2024-01-02,16.24,199517802.0607143,0.0244186505590792,134396949920.00012,,,,-0.035056,,,,,,,1.066760559428796e-05,0.0,0.040024630541872,,0,0
000680,2024-01-02,4.99,19808533.2003881,0.0186070663016537,7489268509.999995,,,,0.010121,,,,,,,0.0001023865813689,0.714285714285718,0.0140280561122243,,0,0
000725,2024-01-02,3.87,310637188.25849384,0.0084502555081204,143033826409.9993,,,,-0.007692,,,,,,,6.400817474302483e-06,0.5000000000000037,0.0155038759689922,,0,0
000768,2024-01-02,22.42,22581238.04402483,0.0081560804851124,62366612390.000015,,,,0.002235,,,,,,,4.357401645205431e-06,0.2250000000000039,0.0356824264049955,,0,0
001309,2024-01-02,88.77,2784000.011151289,0.041505431855092,10053007210.0,,,,-0.064496,,,,,,,0.0002583381152147,0.0940721649484524,0.0874169201306746,,0,0
002049,2024-01-02,66.06,8557094.01504764,0.0100734593148514,56125852080.000046,,,,-0.020608,,,,,,,3.623912355402827e-05,0.0,0.0208900999091734,,0,0
002097,2024-01-02,6.19,15617483.161711328,0.0143909848369305,6729845160.000027,,,,0.009788,,,,,,,0.0001013498979391,0.6923076923076938,0.0210016155088854,,0,0
002156,2024-01-02,23.0,16524705.043136312,0.0109120341160131,34834175069.99995,,,,-0.00519,,,,,,,1.3548039446452858e-05,0.0384615384615376,0.0226086956521738,,0,0
002185,2024-01-02,8.44,18291363.11811855,0.005709369413074,27045850429.99995,,,,-0.00939,,,,,,,6.063697912912904e-05,0.0999999999999982,0.0118483412322274,,0,0
002230,2024-01-02,45.1,30823658.02197453,0.0143057093294876,104437580799.99982,,,,-0.027598,,,,,,,1.96749440184504e-05,0.0291970802919702,0.0303769401330376,,0,0
002236,2024-01-02,17.99,29389426.055293612,0.0150021870686145,59267497130.00002,,,,-0.024932,,,,,,,4.690738823976436e-05,0.0754716981132057,0.0294608115619789,,0,0
002241,2024-01-02,20.75,224479290.04753157,0.0744975883820489,70973366399.99995,,,,-0.012375,,,,,,,2.6202869978891448e-06,0.0746268656716426,0.0322891566265061,,0,0
002352,2024-01-02,39.2,18035438.025410347,0.0037101413864816,191891933020.00034,,,,-0.029703,,,,,,,4.184891372480675e-05,0.0400000000000034,0.0318877551020408,,0,0
002371,2024-01-02,240.3,4106740.0041331644,0.0077736633390323,127331183590.00034,,,,-0.022018,,,,,,,2.2159660474571867e-05,0.1448170731707342,0.0272992093216812,,0,0
002415,2024-01-02,33.77,38424575.029778056,0.0042185712857459,315094393440.0004,,,,-0.027362,,,,,,,2.120487408259955e-05,0.3636363636363659,0.0423452768729641,,0,0
002460,2024-01-02,41.67,21264101.02378653,0.0176168381017311,67238449439.99972,,,,-0.026402,,,,,,,2.953376980658145e-05,0.0,0.0244780417566593,,0,0
002466,2024-01-02,55.42,23289183.017940808,0.0157916428094738,81860847810.00002,,,,-0.006632,,,,,,,5.108950770148152e-06,0.2242990654205625,0.0193071093468062,,0,0
002475,2024-01-02,33.98,47135341.029178135,0.0065938926680613,243319981089.99997,,,,-0.013643,,,,,,,8.445442105296884e-06,0.0297029702970238,0.0297233666862859,,0,0
002594,2024-01-02,192.6,11392832.005150072,0.0097812312984918,349211313870.00073,,,,-0.027273,,,,,,,1.2328660859420484e-05,0.031724137931033,0.0376427829698857,,0,0
300014,2024-01-02,40.85,19361591.024236474,0.0104006992882956,83567723149.9999,,,,-0.031991,,,,,,,4.004570966939505e-05,0.0,0.0347613219094247,,0,0
300017,2024-01-02,7.89,106571989.12610403,0.0468559004840052,19229406179.999992,,,,0.005096,,,,,,,6.02997574397754e-06,0.5,0.0354879594423319,,0,0
300059,2024-01-02,13.8,106437644.07203448,0.0079249328974252,218826531719.99997,,,,-0.017094,,,,,,,1.1568786420086377e-05,0.0384615384615442,0.018840579710145,,0,0
300196,2024-01-02,10.93,2213700.0912365457,0.0089855695504027,4467266359.999994,,,,0.004596,,,,,,,0.0001894218606592,0.3181818181818185,0.020128087831656,,0,0
300223,2024-01-02,63.33,4375742.015719878,0.0105235209885675,30497822459.999996,,,,-0.020418,,,,,,,7.335175379735557e-05,0.0754716981132061,0.0251065845570818,,0,0
300274,2024-01-02,85.4,13401807.011618337,0.0118996187940397,126831894030.00049,,,,-0.025003,,,,,,,2.1675705291329132e-05,0.0717299578059081,0.0277517564402809,,0,0
300474,2024-01-02,72.72,9550941.013800573,0.0290685229041101,33238750410.000015,,,,0.028426,,,,,,,4.107385766069375e-05,0.5824411134903635,0.0642189218921892,,0,0
300475,2024-01-02,32.75,10113774.0303888,0.0229732790727077,14985278870.0,,,,-0.030778,,,,,,,9.24785141080266e-05,0.2727272727272715,0.0335877862595418,,0,0
300750,2024-01-02,156.83,21403268.006313503,0.0054952702034592,689901637040.0007,,,,-0.039385,,,,,,,1.161771873565188e-05,0.0355329949238592,0.0376841165593317,,0,0
300782,2024-01-02,133.0,6796309.007429924,0.0152789024923239,70997422400.00002,,,,-0.056738,,,,,,,6.202738006854064e-05,0.0851293103448267,0.0697744360902255,,0,0
300812,2024-01-02,43.48,34618100.02306168,0.3853199767823205,6098375620.000003,,,,0.045444,,,,,,,3.02735794014248e-05,0.4511691884456665,0.1672033118675252,,0,0
301308,2024-01-02,85.32,5998601.011543652,0.0531488118531962,35225578150.000015,,,,-0.073112,,,,,,,0.0001406958791793,0.0643274853801166,0.080168776371308,,0,0
600004,2024-01-02,9.72,9389159.1027955,0.0039671637590971,23004501709.99996,,,,-0.006135,,,,,,,6.716795970736972e-05,0.3076923076923129,0.0133744855967078,,0,0
600009,2024-01-02,32.18,7846064.030945904,0.004071734918684,80079329520.00037,,,,-0.018304,,,,,,,7.21934513771465e-05,0.0795454545454546,0.0273461777501554,,0,0
600018,2024-01-02,4.98,29786701.20166394,0.0012853680501303,115955040859.99998,,,,0.016327,,,,,,,0.0001105381681416,0.833333333333337,0.0240963855421686,,0,0
600026,2024-01-02,12.79,47823616.07867596,0.0137630772647763,44442390090.00004,,,,0.044935,,,,,,,7.392362557797323e-05,0.8124999999999968,0.037529319781079,,0,0
600029,2024-01-02,5.75,35630310.173796326,0.0028114385624829,77492226820.0001,,,,-0.001736,,,,,,,8.467804359106667e-06,0.5,0.0139130434782608,,0,0
600031,2024-01-02,13.76,36039073.07248429,0.004257815926854,116763785660.00005,,,,-0.000726,,,,,,,1.4601822362941957e-06,0.3571428571428526,0.010174418604651,,0,0
600104,2024-01-02,13.42,18821008.0737424,0.0016109102783681,156792051519.99976,,,,-0.00813,,,,,,,3.18540815069543e-05,0.0294117647058817,0.0253353204172876,,0,0
600109,2024-01-02,9.0,14047671.1106002,0.0043743725771955,33519233789.999874,,,,-0.008811,,,,,,,6.937080974740892e-05,0.0,0.0099999999999999,,0,0
600115,2024-01-02,3.85,39409070.25847396,0.0029233836386765,65890897350.0,,,,-0.007732,,,,,,,5.0712162533661495e-05,0.0,0.0129870129870129,,0,0
