network,variant,signal_date,horizon,n_stocks,excluded,pearson_ic,spearman_ic
W-attn,alpha_0.00,2025-12-18,5,97,False,0.17668966327690658,0.1331264464548706
W-attn,alpha_0.00,2025-12-18,20,96,False,0.07552824422671321,0.015138361367335864
W-attn,alpha_0.00,2025-12-25,5,96,False,0.19801015594685084,0.14450623982637004
W-attn,alpha_0.00,2025-12-25,20,96,False,0.17122947202728533,0.07083559413998915
W-attn,alpha_0.00,2026-01-05,5,97,False,0.2980289327952661,0.23370765832106036
W-attn,alpha_0.00,2026-01-05,20,97,False,0.26595214163143754,0.04748316852514201
W-attn,alpha_0.00,2026-01-12,5,97,False,0.04425314755877687,0.0032084998948032815
W-attn,alpha_0.00,2026-01-12,20,97,False,0.0053842027522765035,0.04341994529770671
W-attn,alpha_0.00,2026-01-19,5,98,False,0.015934676349888727,-0.0662739322533137
W-attn,alpha_0.00,2026-01-19,20,98,False,0.14998585807162554,-0.06487130934848165
W-attn,alpha_0.00,2026-01-26,5,98,False,0.0665218330362436,-0.0553079713609905
W-attn,alpha_0.00,2026-01-26,20,98,False,0.2641124602201147,0.04710900292638142
W-attn,alpha_0.00,2026-02-02,5,98,False,0.1559084714005587,0.14971724397350317
W-attn,alpha_0.00,2026-02-02,20,98,False,0.11597455324892447,0.14121224872329438
W-attn,alpha_0.00,2026-02-09,5,98,False,0.18584833437598056,0.22308717301353528
W-attn,alpha_0.00,2026-02-09,20,98,False,0.04436366387337611,-0.08963397917742542
W-attn,alpha_0.00,2026-02-24,5,98,False,0.2605446520332053,0.019885367455323266
W-attn,alpha_0.00,2026-02-24,20,98,False,0.225377946968641,0.10600641381201026
W-attn,alpha_0.00,2026-03-03,5,98,False,0.025945935343886176,0.18359696268385517
W-attn,alpha_0.00,2026-03-03,20,98,False,-0.1161078193866975,-0.2340148805539085
W-attn,alpha_0.00,2026-03-10,5,98,False,-0.3056479548753474,-0.2570816517797372
W-attn,alpha_0.00,2026-03-10,20,98,False,0.010803952751609643,-0.03794094957570657
W-attn,alpha_0.00,2026-03-17,5,98,False,-0.22181072726133935,-0.277037150380302
W-attn,alpha_0.00,2026-03-17,20,98,False,-0.055407460101339644,0.07716338644173694
W-attn,alpha_0.00,2026-03-24,5,98,False,-0.12800313469931623,-0.0773163998495368
W-attn,alpha_0.00,2026-03-24,20,98,False,0.153190923727071,0.21330706603166097
W-attn,alpha_0.00,2026-03-31,5,98,False,0.2941916862988027,0.28512135875906125
W-attn,alpha_0.00,2026-03-31,20,98,False,0.004764336409510362,0.03563299734139203
W-attn,alpha_0.00,2026-04-08,5,98,False,-0.04687637885110913,0.0664651990130635
W-attn,alpha_0.00,2026-04-08,20,97,False,0.19398370007684893,0.2784557121817799
W-attn,alpha_0.00,2026-04-15,5,98,False,0.0805548924709054,0.13996263922626218
W-attn,alpha_0.00,2026-04-15,20,97,False,0.2200975294978598,0.23771828318956445
W-attn,alpha_0.00,2026-04-22,5,98,False,-0.3416532153986464,-0.18215608642707315
W-attn,alpha_0.00,2026-04-22,20,97,False,-0.1481667611534014,-0.19223385230380813
W-attn,alpha_0.00,2026-04-29,5,97,False,0.23821189982040128,0.23055175678518827
W-attn,alpha_0.00,2026-04-29,20,97,False,0.10745825357671936,0.13549337260677466
W-attn,alpha_0.00,2026-05-11,5,98,False,0.1328883008998322,0.1542566417382323
W-attn,alpha_0.00,2026-05-11,20,98,False,0.09261481270195461,0.12450828503847648
W-attn,alpha_0.00,2026-05-18,5,98,False,-0.05684188404563209,-0.14432352134855816
W-attn,alpha_0.00,2026-05-18,20,98,False,-0.005751710320777176,0.010768318573915036
W-attn,alpha_0.00,2026-05-25,5,98,False,0.1679489172848263,0.06489681158311496
W-attn,alpha_0.00,2026-05-25,20,98,False,-0.030231853473345487,0.0737843403528234
W-attn,alpha_0.00,2026-06-01,5,98,False,-0.04260343086957871,-0.02617166829243412
W-attn,alpha_0.00,2026-06-01,20,98,False,0.023059044463100555,0.13016978112707125
W-attn,alpha_0.00,2026-06-08,5,98,False,-0.17852477825676402,-0.23198745290056036
W-attn,alpha_0.00,2026-06-08,20,98,False,0.01300805187631518,-0.06698799482304636
W-attn,alpha_0.00,2026-06-15,5,98,False,0.15750379775583156,0.05065381354041147
W-attn,alpha_0.00,2026-06-15,20,98,False,0.19021373990108809,0.11660259230215045
W-attn,alpha_0.00,2026-06-23,5,98,False,-0.25461214002061544,-0.3410095059579596
W-attn,alpha_0.00,2026-06-23,20,98,False,0.016480408923822087,0.00867713533398364
W-attn,alpha_0.00,2026-06-30,5,98,False,0.21253217832492924,0.1788662981593762
W-attn,alpha_0.00,2026-06-30,20,98,False,0.2677695884738922,0.19484344815714477
W-attn,alpha_0.00,2026-07-07,5,98,False,0.07874988852011841,0.027102499856549927
W-attn,alpha_0.00,2026-07-07,20,98,False,0.252323116368883,0.1563223227435304
W-attn,alpha_0.00,2026-07-14,5,98,False,-0.16290815117521282,-0.23762344675452182
W-attn,alpha_0.00,2026-07-14,20,98,False,-0.11484585904960992,-0.09579276884136971
W-attn,alpha_0.00,2026-07-21,5,98,False,-0.173973156626115,-0.10394073280671218
