network,variant,horizon,metric,block_trading_days,is_sensitivity,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-attn,alpha_0.00,5,pearson_ic,10,False,0.00823691671861886,-0.0335789055246833,0.04962573360530954,0.021260950567336487,68,2,2000,42
W-attn,alpha_0.00,5,spearman_ic,10,False,0.004283586727541477,-0.032277931541903115,0.04291969092553895,0.01935928239157291,68,2,2000,42
W-attn,alpha_0.00,5,pearson_ic,40,False,0.00823691671861886,-0.03067749419756793,0.04805456742213255,0.020203760562027565,68,8,2000,42
W-attn,alpha_0.00,5,spearman_ic,40,False,0.004283586727541477,-0.029466828476877358,0.03650475853284711,0.01661714714218432,68,8,2000,42
W-attn,alpha_0.00,5,pearson_ic,5,True,0.00823691671861886,-0.033275965608950145,0.0480997539304738,0.020880478914738036,68,1,2000,42
W-attn,alpha_0.00,5,spearman_ic,5,True,0.004283586727541477,-0.03420038021374385,0.042690518702260885,0.019870471091749557,68,1,2000,42
W-attn,alpha_0.00,5,pearson_ic,20,True,0.00823691671861886,-0.032281007267803336,0.04866708765562671,0.020494031644329207,68,4,2000,42
W-attn,alpha_0.00,5,spearman_ic,20,True,0.004283586727541477,-0.03095439147624434,0.04065012172507858,0.018107323020501418,68,4,2000,42
W-attn,alpha_0.00,20,pearson_ic,10,False,0.025158520853912972,-0.01757850063976461,0.06501345526394882,0.02096130667151333,65,2,2000,42
W-attn,alpha_0.00,20,spearman_ic,10,False,0.0047712607357676675,-0.034873133113698905,0.04153253715086411,0.01887337829658375,65,2,2000,42
W-attn,alpha_0.00,20,pearson_ic,40,False,0.025158520853912972,-0.025793583709923643,0.06695736846185742,0.02414380021916748,65,8,2000,42
W-attn,alpha_0.00,20,spearman_ic,40,False,0.0047712607357676675,-0.03963677611576264,0.04458903427631188,0.021925889111947667,65,8,2000,42
W-attn,alpha_0.00,20,pearson_ic,5,True,0.025158520853912972,-0.015925198926181248,0.06624413370072511,0.02074898865305482,65,1,2000,42
W-attn,alpha_0.00,20,spearman_ic,5,True,0.0047712607357676675,-0.03337382010323551,0.04145416786185336,0.01911615299239971,65,1,2000,42
W-attn,alpha_0.00,20,pearson_ic,20,True,0.025158520853912972,-0.022782130543208417,0.06910362523149381,0.023274126281818464,65,4,2000,42
W-attn,alpha_0.00,20,spearman_ic,20,True,0.0047712607357676675,-0.0362419399208298,0.04126889715611172,0.01958960840973814,65,4,2000,42
W-attn,alpha_0.05,5,pearson_ic,10,False,0.008506395136525307,-0.03336891073671134,0.04986883243530882,0.021290075305612156,68,2,2000,42
W-attn,alpha_0.05,5,spearman_ic,10,False,0.004520675528675984,-0.03217681535571848,0.0430469846374109,0.019367683451638622,68,2,2000,42
W-attn,alpha_0.05,5,pearson_ic,40,False,0.008506395136525307,-0.030039385346816126,0.048406227083195794,0.02018597304137494,68,8,2000,42
W-attn,alpha_0.05,5,spearman_ic,40,False,0.004520675528675984,-0.028975970531006028,0.036636365015541975,0.016579620476959756,68,8,2000,42
W-attn,alpha_0.05,5,pearson_ic,5,True,0.008506395136525307,-0.032675712676167055,0.048169840023794055,0.020911536312869926,68,1,2000,42
W-attn,alpha_0.05,5,spearman_ic,5,True,0.004520675528675984,-0.03408736172277855,0.04284378155303207,0.01986059004563241,68,1,2000,42
W-attn,alpha_0.05,5,pearson_ic,20,True,0.008506395136525307,-0.03190655442288637,0.04897571794258734,0.0204818145144175,68,4,2000,42
W-attn,alpha_0.05,5,spearman_ic,20,True,0.004520675528675984,-0.03050529188148394,0.04086648743481068,0.018097165916786243,68,4,2000,42
W-attn,alpha_0.05,20,pearson_ic,10,False,0.025628067782421972,-0.017052168336081745,0.06571677673474577,0.021004079106622647,65,2,2000,42
W-attn,alpha_0.05,20,spearman_ic,10,False,0.0053756213291643005,-0.03358538956907624,0.0416329517576307,0.018779913233086292,65,2,2000,42
W-attn,alpha_0.05,20,pearson_ic,40,False,0.025628067782421972,-0.02553095267504434,0.06775236854460304,0.02423881255774706,65,8,2000,42
W-attn,alpha_0.05,20,spearman_ic,40,False,0.0053756213291643005,-0.03876162806198034,0.045025049715855546,0.021828941875606647,65,8,2000,42
W-attn,alpha_0.05,20,pearson_ic,5,True,0.025628067782421972,-0.015285848684189012,0.06677595984621836,0.02077985384307849,65,1,2000,42
W-attn,alpha_0.05,20,spearman_ic,5,True,0.0053756213291643005,-0.032707623587094385,0.042012311710390424,0.01901634316571976,65,1,2000,42
W-attn,alpha_0.05,20,pearson_ic,20,True,0.025628067782421972,-0.02238260604548863,0.0700003276293241,0.02337984589413325,65,4,2000,42
W-attn,alpha_0.05,20,spearman_ic,20,True,0.0053756213291643005,-0.03536747341329665,0.04187264595328532,0.019596624120508405,65,4,2000,42
W-attn,alpha_0.20,5,pearson_ic,10,False,0.009419038418730015,-0.03177009309063454,0.050938486596774864,0.021304993280765946,68,2,2000,42
W-attn,alpha_0.20,5,spearman_ic,10,False,0.004820094709885599,-0.031750291015710544,0.04395328118854208,0.01921223997837365,68,2,2000,42
W-attn,alpha_0.20,5,pearson_ic,40,False,0.009419038418730015,-0.029134394006693903,0.048899603787876104,0.020059376363196296,68,8,2000,42
W-attn,alpha_0.20,5,spearman_ic,40,False,0.004820094709885599,-0.028049983695953476,0.03625038454689719,0.016345403649394893,68,8,2000,42
W-attn,alpha_0.20,5,pearson_ic,5,True,0.009419038418730015,-0.03098566198296354,0.048679536425113856,0.02093121061830467,68,1,2000,42
W-attn,alpha_0.20,5,spearman_ic,5,True,0.004820094709885599,-0.03338912498582749,0.04297852553554047,0.019683170809505015,68,1,2000,42
W-attn,alpha_0.20,5,pearson_ic,20,True,0.009419038418730015,-0.03082835907048595,0.049236291981812855,0.02037421075329362,68,4,2000,42
W-attn,alpha_0.20,5,spearman_ic,20,True,0.004820094709885599,-0.030400980383447723,0.0400836232866389,0.01798476961946112,68,4,2000,42
W-attn,alpha_0.20,20,pearson_ic,10,False,0.02713132626878024,-0.015550520544289246,0.06810312928502495,0.021076195167832275,65,2,2000,42
W-attn,alpha_0.20,20,spearman_ic,10,False,0.0040895857631016025,-0.03495584298602627,0.03918525414491304,0.018457604126128208,65,2,2000,42
W-attn,alpha_0.20,20,pearson_ic,40,False,0.02713132626878024,-0.02377610311967788,0.07037419070281828,0.024472377504894435,65,8,2000,42
