code,name,sector,cohort_key,feature_source,PC05,PC05_z,pca_version
002460,赣锋锂业,tech,student_A,local_semantic,-0.42832783281058984,-0.080269516464300417,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002466,天齐锂业,tech,student_A,local_semantic,-0.85320558849203088,-0.15989248138161372,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002475,立讯精密,tech,student_A,local_semantic,-0.61454951984301986,-0.11516784346578091,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002493,荣盛石化,bluechip,student_B,local_semantic,2.0892866779068422,0.39153661878668478,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002497,雅化集团,global,student_B,local_semantic,2.5372728866780996,0.47549015532150435,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002532,天山铝业,global,student_B,local_semantic,2.2776488674755244,0.42683608036410015,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002557,洽洽食品,defensive,student_C,local_semantic,6.820819062931271,1.2782355152579741,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002594,比亚迪,tech,student_A,local_semantic,-0.76320887025109485,-0.14302691135976475,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002648,卫星化学,growth,student_B,local_semantic,1.7976346997048558,0.33688043846677879,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002709,天赐材料,growth,student_B,local_semantic,-1.5118260601975584,-0.28331931183152853,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002736,国信证券,bluechip,student_C,local_semantic,4.8885783477994122,0.91612963276479775,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002738,中矿资源,global,student_B,local_semantic,2.3972961364136447,0.4492582245449197,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002756,永兴材料,global,student_B,local_semantic,2.3792711742261132,0.44588030957360786,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002812,恩捷股份,growth,student_B,local_semantic,-1.9918189710896745,-0.37327097014610727,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002821,凯莱英,growth,student_C,local_semantic,5.4492647945283874,1.0212034255923668,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
002926,华西证券,bluechip,student_C,local_semantic,4.7701076879778297,0.89392798755139813,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300014,亿纬锂能,tech,student_A,local_semantic,-1.3405036360064242,-0.25121313731777628,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300015,爱尔眼科,growth,student_C,local_semantic,3.4615416743584655,0.64870002632924673,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300017,网宿科技,tech,student_A,local_semantic,-11.127892574326291,-2.085389946169677,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300037,新宙邦,growth,student_B,local_semantic,-2.2522665509754352,-0.422079382068692,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300059,东方财富,tech,student_A,local_semantic,0.47209944031143003,0.088472405699638254,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
