feature,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
dim_000,0.011865970848387308,0.0013114520624774584,0.0087539898375826597,0.0043540075883612903,0.018561007334270158,-0.028530283474597767,-0.017871888629828588,-0.042336229690689592,0.0041471146936425812,-0.062039452415874136
dim_001,-0.0075840424566896436,-0.0035943453393442737,0.017552901862717907,-0.021318730591300589,0.011134757411368601,0.027530512857253477,-0.014581986816562907,0.0041884896833071089,0.0043799102938315137,0.04495865732624682
dim_002,0.098459411196046953,-0.046162132549362522,-0.04632363458165524,-0.040363979102128127,0.019411177009662273,0.047042750240472553,-0.10059116578620966,0.02496232729353981,-0.021177106130875999,0.063178185210443716
dim_003,0.002990202545535281,0.001817144948342217,-0.016106356438387703,-0.0069335593544489066,-0.0034299476056566802,-0.029706204027835054,0.021189736704487025,-0.055915681906368087,0.019489853941660001,0.026395193632963554
dim_004,-0.014464879891813776,-0.12366163002882025,-0.0027279712737757755,0.0043620512410508022,0.019258270273482064,0.038301216965258122,0.0023225616437086705,-0.025504411364700337,-0.015388837466480339,0.0074335977843792492
dim_005,-0.074569881084311743,0.064573598767493495,0.051754953591751696,0.034841024601386598,-0.0093585854603820406,-0.027070511486206386,0.12683387261136367,-0.014910490829107115,-0.020296219869345784,-0.03526254876816981
dim_006,-0.012016830433600773,0.032165848205554237,0.011675457687509605,0.06437845809380692,0.14636054933536652,0.025614536600468196,-0.014307437835428094,-0.0039958854806060318,-0.0063446062899851947,0.0020898824661525761
dim_007,-0.0022411674874717527,0.0044064304628244066,-0.0030513892595253056,0.001015124391745531,0.0043552686766049481,0.010364624516618362,0.048397729645891285,0.022048588748605491,-0.023500108218768169,-0.017883476230303411
dim_008,-0,-0,-5.5511151231257827e-17,3.4694469519536142e-18,-0,1.6653345369377348e-16,-8.3266726846886741e-17,0,-5.2041704279304213e-18,-1.3877787807814457e-17
dim_009,-0.0041993685421748313,0.01762570408233638,-0.043218659211064894,0.0063884721901913133,-0.0098418856497513828,-0.020988359153180119,0.017751579470825063,-0.0025522231247712968,0.071530623589570561,0.036747032690015419
dim_010,0.010521251629683964,-0.0044646649640748964,-0.027201920297531903,0.0007558936535451144,0.02159074438858799,-0.013183130231025651,-0.084154096450853422,0.0094209162969280114,0.034942364530678081,0.0078984213179385532
dim_011,0.095378974654703796,0.014923202299197438,0.011415427047406328,0.096555995577515485,-0.083533457540507117,0.023760303245567722,0.01211234793776228,-0.0082684905483071391,-0.015479259142643625,-0.010032189185888595
dim_012,0.090311214125671377,0.012995752940972766,-0.0086954804182640174,0.018065040886878728,0.017402229003464966,-0.11804042332387431,-0.036956413492890666,-0.042899547299374563,0.043164732333832397,0.074563947944615072
dim_013,-0.0082566943615562799,-0.024049592969140488,0.029450954066419746,0.0049977708437127328,0.0018816137276935416,-0.025230999634578158,0.0066478285294439277,-0.0084515201179370947,0.027375228555103055,0.0071531462908689947
dim_014,-0.079399770581964874,0.050514623853667173,0.059502257336708816,0.0081686174444351046,-0.05810466519537108,-0.04076729918141786,-0.067505735447125223,0.04393159331653218,0.024288435023306111,0.01645483430395861
dim_015,-0.014110296639282172,-0.015801440838398288,-0.0002695965988039708,-0.0038419518643180296,-0.023750040553071602,-0.001228483795699773,-0.020531359346019667,-0.030964421238006218,-0.022998657722610026,-0.029679198146585345
dim_016,0.012934954116203223,-0.0050235830633730766,-0.031445141757920465,0.020571894934284539,0.00019226693374206481,-0.013919234146963265,-0.015500284311155495,-0.018075323712708723,0.046914873612646762,-0.057805143038090645
dim_017,0.012191666225727704,-0.0030681632522506375,0.030739561053194506,0.0048345553032765392,0.015043899654316234,-0.0050609086525830304,0.028255003536105966,0.025058097959232022,0.027885558216325518,0.017150979708435793
dim_018,-0.021610707035438576,-0.0028556831840310993,0.0026988102774603679,-0.012037063321141437,0.033664772651047309,-0.024458011903110099,0.040869769729770578,0.096271191295185576,0.040830830558816339,-0.0060092908391791017
dim_019,0.022298144586751775,0.0023281192951470349,-0.016768405520452216,-0.012687126007710998,-0.0032202548164413165,-0.0018297479550571409,0.0089365134837638433,-0.015526975852445044,0.065175685757335178,0.021895037363810363
dim_020,0.0023844146412203442,-0.035944889125064598,0.0014360772161408852,-0.017026224730364081,0.0035000065774825765,0.0032132813238826175,0.01228122229980385,0.011059832997021362,-0.0028364928297596181,-0.037914811404305818
dim_021,0.0071705545106951814,0.0079650730871570069,-0.002594092937980211,0.016755189428486937,-0.0086855732098652001,-0.0016352784102718042,-0.0047233045397210476,0.024991495488374874,0.029071023501411108,-0.010507327071193236
dim_022,-0.014192714585423514,0.0063242826655466617,0.0099137735178483222,0.0029713673183960738,-0.0092711838310512561,-0.0054209709864608321,0.0099375592983934873,0.040625258414378945,-0.015180200962571833,0.039682632763641382
dim_023,-0.029169724328194251,-0.14187413723148809,-0.0095061478930516443,0.0016141839152654346,0.0053420354051712136,0.045395229164441636,0.0050488553895705751,0.0029306063988972161,-0.025575187276060257,0.0013680856544168035
dim_024,0.01541315977478987,0.020895074212248097,0.0024722454895334633,0.0028530850838109048,0.020112497995726827,0.0061105241956888627,0.0087786068665129686,-0.0095425942764671007,0.018142411853691975,0.0086094180766891001
dim_025,8.1223781624708226e-05,-0.0024428483968971454,-0.010789951356878479,-0.020742159650928682,0.012825123037795766,-0.014632841281370167,-0.036561661361500034,-0.041773151185124632,0.043951251315213623,0.043461480405047472
dim_026,-0.01148323151303772,-0.02077122651127537,0.0016396910259181602,0.012663044348724554,-0.01238642165877989,0.0041974353851079527,-0.025110291312895223,-0.029337604358242259,0.013131814152156585,0.027027652209792485
dim_027,-0.026626848468599619,-0.13953136229896759,-0.0032939614924714336,0.0014969249716481178,0.0014278348024807715,0.057761346801641703,-0.0047248591661384143,-0.0012769181898977502,-0.018892068426182029,0.005788578158526415
dim_028,0.092358828315027369,-0.043405083160010849,-0.036429888452851861,-0.028138160930634301,0.015137286813844913,0.043497223282923769,-0.12198324172252047,0.010556180540728865,0.0082835023686153499,0.042784007990803986
dim_029,0.0044881329893103816,-0.016110735814554047,0.0078283543172093586,-0.0035891560335448718,-0.016704176080545929,-0.0037765710603898427,0.026832062580369624,0.020143413323471113,-0.022899309891870574,0.034190421560827078
dim_030,0.0094041067375339928,0.029239560420789068,0.0036791234458252108,-0.0044550412635478006,0.0086287733500547744,0.0040896106145922742,0.032941670292050959,-0.00048524643578464345,-0.056390738784943252,-0.012745571085781662
dim_031,0.012189068768295723,-0.02942548794923203,-0.012131452755502307,-0.0082834723083332288,-0.03215837959528197,-0.018211277169254466,0.02703059381909622,0.11685030728639968,0.014446876621709657,0.032451003010724969
dim_032,0.0074584879184036714,0.0059083526451338851,-0.0036338882733033553,-0.003947855817173134,0.001747984166460412,0.0096107877148144862,-0.015950649228576176,-0.028358473540615811,-0.00010202696645130566,-0.011365579972879635
dim_033,0.0045756768844872021,0.049814475439734753,-0.026829516324247946,0.021798878621470546,-0.012565967302417113,-0.02173890698956572,0.047317735897650953,0.085132888204492926,0.073698000720660864,0.03569557042673132
dim_034,-0.0097855728149971941,-0.019859399290896567,0.032867836727305547,-0.019636748049888023,-0.0018624706757690516,-0.00077939089193565492,-0.012057094324688922,-0.04652417220739051,-0.045352327871932219,-0.035000613817038347
dim_035,-0.0075096693575064204,-0.001259251646899724,0.025830081787161591,0.0044232320904592443,0.018712060600549599,0.0015704783222382222,0.036882767665902289,0.0051561648641392944,-0.03927374304656963,0.042967744161940644
dim_036,0.0040792917496558587,-0.0040998291087938543,0.029465835931599189,-0.02885831984363903,0.0123365543547888,0.011581919924071328,-0.0063600602612300479,0.037527443538354639,-0.071469481408940688,-0.032214590235559892
dim_037,0.020007492847345001,-0.041482771716992342,0.10848825617190905,0.063378685160657769,0.028592584960022857,-0.020015741941878915,-0.03642049062379514,0.026946937784069761,-0.031529456336864693,-0.020879801510238782
dim_038,-0.0021645922168794375,-0.013919534796242831,-0.0085846940597489405,0.0037290413164376003,-0.01041328611326201,0.0041699088036250562,-0.014953383046291763,-0.014163638819949543,-0.0017605691496112058,-0.036327728741853887
dim_039,-0.0083906881426930192,0.043387560851758204,-0.083234891631698366,-0.033922942924069506,0.017102273649473018,0.027233343695231095,-0.050525534254670483,0.089191168655051084,-0.063637804582826182,-0.09766749327465149
dim_040,0.0080807021769233982,-0.0013114275170595616,-0.00072815144107452436,0.0037877687750283795,-0.024578959006760388,-0.0029525457499414575,0.01647458582832553,0.028073488504536118,-0.005146285006932423,-0.018553359384075815
dim_041,-0.010699816821503536,-0.016774587155666969,-0.0072717219610219713,0.0091806965411469228,0.0078227756926779243,-0.0005733782047900774,0.0028316938017458292,0.00052697010120254903,-0.021789016558014514,0.00118833957988957
dim_042,0.023058717949303174,0.14906999716242503,0.012481486034707055,0.00063983183135841082,-0.0076757050267412226,-0.043432541814727429,-0.0084110117359094717,0.00034032900470977332,0.026825259773206076,-0.0031017335132969316
dim_043,-0.0087213135395809386,0.0044005317553244237,0.0060223114761729177,0.0098924024697964966,0.010131237206096252,-0.01608684626894176,-0.020216973041384593,-0.019621186646770192,-0.0020408198467400129,-0.036309456797620501
dim_044,-0.087923047620702549,0.056650454008853789,0.040911636080582854,0.042643849434294161,-0.029883453430912695,-0.036444684450119565,0.11231048435107471,-0.038493035663225164,-0.00094227076932428401,-0.020681168151550279
