code,name,sector,cohort_key,feature_source,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
000001,平安银行,bluechip,student_C,local_semantic,9.9823773126423028,-3.8486140303201362,-6.146502072307201,-1.1240400294027735,5.0598907448704304,3.2573549575663963,-1.4556696209196949,-5.8202596893444856,0.23193504195780551,-5.4976638648615026
000002,万科A,bluechip,student_C,local_semantic,9.3916653093752984,-0.82276734761715897,-4.0364166082551387,-2.0211431191517115,4.3193948641672923,4.6124584182089512,-0.92356716555241347,-7.4419826038075287,-4.1599291590802565,0.33663210730918219
000021,深科技,tech,student_A,local_semantic,1.9528946461295715,13.244701793406621,0.8611495990259973,-0.4280781226648202,-0.34271614890204316,-1.9376638227178051,-1.8015427705787035,-5.1086525560080522,-0.29879899470380283,-0.79515788139210775
000037,深南电A,growth,student_B,local_semantic,-6.2176773033319535,0.33348928619466423,-0.44709377347279056,7.6189889807432687,-1.1379900773628933,8.9823105772070662,-2.4897560916920569,-4.4048379127268742,-1.2613098063866193,-0.18173463056696354
000060,中金岭南,global,student_B,local_semantic,1.8692157124166557,-4.9122740117567094,12.993034699553075,3.3685951773678839,1.651939167557265,-2.2557137295148357,1.2006902271163706,-4.4810277019102234,-1.5788618753643693,0.79544508128710811
000063,中兴通讯,tech,student_A,local_semantic,2.3313911109109142,11.352508305712902,1.7101757574620213,-0.33336821504217257,-0.71586920864926606,-1.7907561988466674,-1.307581527499253,-1.7969787511928423,-1.8439120217435374,-0.76440693209116595
000089,深圳机场,bluechip,student_A,local_semantic,3.7137701521924233,-5.0278379179872887,-2.3148093626178095,-5.1991085392825154,-10.266009902781351,-1.2207810356693189,-8.566033591740899,-5.1887295512617442,-0.90423448235645931,-1.2548309206609798
000157,中联重科,bluechip,student_A,local_semantic,3.0560142662088383,-3.5129231638681189,-2.0685530040688498,-6.3326299893590372,-9.33422479992897,0.93166586741552282,-5.0075594491087125,-2.0971896956030442,-2.5485316483053015,2.404937311351576
000166,申万宏源,bluechip,student_C,local_semantic,9.4741603583927976,-1.3438090302970971,-4.6031923031217783,-1.662674386295236,4.0101743469104099,4.7827084795219301,-1.4728362517097131,-3.3592875276604648,-3.973626812112208,-1.8522266642804615
000301,东方盛虹,bluechip,student_B,local_semantic,5.5831168747591491,-2.6455423010891996,7.508216429154448,1.4938245816503497,3.0403815286869547,-0.57299750184627307,-7.929072006022853,0.13461070931833269,-4.3417591784360177,-1.2286376985055922
000338,潍柴动力,bluechip,student_A,local_semantic,3.3902528774810947,-3.040366243490336,-1.1417559932076307,-6.1083929361502349,-10.221069988053443,0.082369079974126347,-5.7172550595453435,-3.5478758466602081,-2.6387107858324903,0.85526167229747885
000408,藏格矿业,growth,student_B,local_semantic,-0.57124228626313978,-2.6221682979656094,10.754578637846411,1.6717627867322056,1.4030855402339384,1.8729460505711795,0.8598425864988628,2.8714060358642781,-4.9626479130308896,-4.3992689755343264
000423,东阿阿胶,defensive,student_C,local_semantic,-9.3133283484789011,-3.2004233366935706,-4.7430099954968687,-2.2784018275081803,5.7794801156319524,-9.930215445767093,-2.7565360321790191,-4.7930106506440682,-2.1960827744042035,0.51773913601722921
