feature,loading,absolute_loading
dim_301,0.16361470914549331,0.16361470914549331
dim_133,0.16341107862000917,0.16341107862000917
dim_690,-0.16128888439344938,0.16128888439344938
dim_170,0.15996759603661814,0.15996759603661814
dim_662,-0.15961139777796074,0.15961139777796074
dim_144,-0.15819316247818227,0.15819316247818227
dim_215,0.15681679960645512,0.15681679960645512
dim_480,-0.15377704969833178,0.15377704969833178
dim_415,0.15355490125047122,0.15355490125047122
dim_745,0.15355385076467148,0.15355385076467148
dim_379,-0.15201541496674245,0.15201541496674245
dim_558,0.15029841383935511,0.15029841383935511
dim_607,-0.14906790472090717,0.14906790472090717
dim_006,0.14636054933536652,0.14636054933536652
dim_465,0.1441329244733412,0.1441329244733412
dim_671,-0.14271371544082626,0.14271371544082626
dim_093,-0.13730412392795249,0.13730412392795249
dim_746,0.13505162391819153,0.13505162391819153
dim_305,-0.13407290686814205,0.13407290686814205
dim_764,-0.13276908023347256,0.13276908023347256
dim_196,-0.1242636331050387,0.1242636331050387
dim_532,-0.12025839308438122,0.12025839308438122
dim_722,0.10937869320869438,0.10937869320869438
dim_566,-0.10408883348834748,0.10408883348834748
dim_735,-0.10162724287765672,0.10162724287765672
dim_652,0.094071869502899738,0.094071869502899738
dim_254,0.091539405585934444,0.091539405585934444
dim_629,0.088167644257504632,0.088167644257504632
dim_713,0.088071016155174681,0.088071016155174681
dim_136,-0.086405628676731502,0.086405628676731502
dim_055,0.086044085926983663,0.086044085926983663
dim_398,-0.085773825094683384,0.085773825094683384
dim_717,-0.085470287880313106,0.085470287880313106
dim_481,-0.085030688757195383,0.085030688757195383
dim_682,0.084108348504275718,0.084108348504275718
dim_444,0.084034060802384333,0.084034060802384333
dim_011,-0.083533457540507117,0.083533457540507117
dim_427,0.083140139166407362,0.083140139166407362
dim_207,0.082644914728687582,0.082644914728687582
dim_350,-0.081361539210092662,0.081361539210092662
dim_408,-0.079076632967602326,0.079076632967602326
dim_096,0.078712942753375856,0.078712942753375856
dim_685,0.078688386368724605,0.078688386368724605
dim_621,0.078588636397832881,0.078588636397832881
dim_708,-0.078386389035581205,0.078386389035581205
dim_160,0.078268692549582783,0.078268692549582783
dim_110,-0.078130872305408938,0.078130872305408938
dim_704,0.076251955878932978,0.076251955878932978
dim_462,-0.075431503246502454,0.075431503246502454
dim_050,-0.074053579627156876,0.074053579627156876
dim_265,-0.071969986641164135,0.071969986641164135
dim_369,0.071760232782056996,0.071760232782056996
dim_172,0.070866011080202643,0.070866011080202643
dim_743,-0.070644099419904405,0.070644099419904405
dim_644,0.068818332187488451,0.068818332187488451
dim_134,0.067674377312349002,0.067674377312349002
dim_389,0.067067435666850014,0.067067435666850014
dim_737,-0.066532030115064367,0.066532030115064367
dim_057,-0.06561765446090756,0.06561765446090756
dim_518,-0.0652160238505336,0.0652160238505336
dim_119,-0.065034782790916693,0.065034782790916693
dim_524,-0.064892184979645481,0.064892184979645481
dim_082,0.064575030197515176,0.064575030197515176
dim_377,0.064356815695035791,0.064356815695035791
dim_234,0.063569920711273306,0.063569920711273306
dim_557,-0.059940090686207093,0.059940090686207093
dim_445,-0.058819799630264409,0.058819799630264409
dim_326,0.058551932523393628,0.058551932523393628
dim_014,-0.05810466519537108,0.05810466519537108
dim_687,-0.058008770240606952,0.058008770240606952
dim_237,-0.057887091143860141,0.057887091143860141
dim_497,-0.057037224793670384,0.057037224793670384
dim_669,-0.056816305204930369,0.056816305204930369
dim_087,0.056148000936516923,0.056148000936516923
dim_677,-0.056065262191780055,0.056065262191780055
dim_447,-0.054962695573214558,0.054962695573214558
dim_582,-0.054340958423684915,0.054340958423684915
dim_286,-0.052909735642065879,0.052909735642065879
dim_268,0.052457371863630954,0.052457371863630954
dim_275,0.050918571494238882,0.050918571494238882
dim_111,0.05013855109243779,0.05013855109243779
dim_576,-0.049887711098798949,0.049887711098798949
dim_457,0.048529672184012988,0.048529672184012988
dim_287,0.048114319541816566,0.048114319541816566
dim_727,-0.047383307938203501,0.047383307938203501
dim_355,0.045968766335570128,0.045968766335570128
dim_099,-0.043557248641053682,0.043557248641053682
dim_591,-0.043267518399838584,0.043267518399838584
dim_552,-0.04300750085898495,0.04300750085898495
dim_565,0.042903069333174143,0.042903069333174143
dim_534,-0.042898358880785796,0.042898358880785796
dim_247,-0.042830881126822901,0.042830881126822901
dim_091,-0.042442133186594268,0.042442133186594268
dim_052,-0.041920766769965388,0.041920766769965388
dim_249,0.041205944315145827,0.041205944315145827
dim_058,0.039519755388150148,0.039519755388150148
dim_437,-0.039062820668052313,0.039062820668052313
dim_046,0.038800360204389851,0.038800360204389851
dim_188,0.038619136680379591,0.038619136680379591
dim_638,0.038424174950231572,0.038424174950231572
dim_765,0.037948369648419973,0.037948369648419973
dim_536,-0.037661918523503542,0.037661918523503542
dim_276,0.037508858215805532,0.037508858215805532
dim_639,-0.037145044268965442,0.037145044268965442
dim_047,-0.037023373712046073,0.037023373712046073
dim_257,0.036913966361384824,0.036913966361384824
dim_767,0.036909277417929744,0.036909277417929744
dim_178,-0.036285112119120277,0.036285112119120277
dim_619,0.036191312500380567,0.036191312500380567
dim_714,-0.035864787178363076,0.035864787178363076
dim_689,0.035822753839594518,0.035822753839594518
