date,open,close,high,low,volume,pct_chg,amplitude,ma5,ma20,ma60
2024-01-15,7.553,7.483,7.643,7.453,45361.0,,,,,
2024-01-16,7.453,7.373,7.473,7.233,60020.0,-1.4699986636375728,3.2072698115729015,,,
2024-01-17,7.353,7.153,7.353,7.153,48482.0,-2.983860029838614,2.7126000271260025,,,
2024-01-18,7.143,7.063,7.193,6.893,50460.0,-1.2582133370613757,4.19404445687124,,,
2024-01-19,7.073,6.953,7.093,6.953,27964.0,-1.5574118646467405,1.9821605550049508,7.205,,
2024-01-22,6.953,6.533,6.973,6.473,50443.0,-6.0405580325039505,7.19114051488566,7.015000000000001,,
2024-01-23,6.523,6.593,6.633,6.403,37618.0,0.9184142048063615,3.5205877850910823,6.859,,
2024-01-24,6.633,6.703,6.713,6.463,47404.0,1.6684362202335823,3.791900500530866,6.769,,
2024-01-25,6.693,6.953,6.953,6.663,58376.0,3.7296732806206156,4.326421005519917,6.747,,
2024-01-26,6.973,6.993,7.073,6.913,43302.0,0.5752912411908451,2.3011649647634136,6.755000000000001,,
2024-01-29,7.003,6.883,7.073,6.863,39294.0,-1.5730015730015756,3.0030030030030024,6.825,,
2024-01-30,6.853,6.843,7.013,6.733,41443.0,-0.5811419439198051,4.067993607438621,6.875,,
2024-01-31,6.853,6.503,6.903,6.493,53267.0,-4.968581031711238,5.991524185298835,6.835000000000001,,
2024-02-01,6.453,6.293,6.483,6.243,48461.0,-3.229278794402579,3.690604336460085,6.703,,
2024-02-02,6.313,6.023,6.443,5.803,58246.0,-4.290481487366926,10.170030192277128,6.509,,
2024-02-05,6.013,5.553,6.013,5.413,80127.0,-7.803420222480484,9.96181304997509,6.243,,
2024-02-06,5.523,5.893,6.023,5.373,80542.0,6.122816495587968,11.705384476859345,6.053,,
2024-02-07,5.873,6.123,6.253,5.793,92524.0,3.902935686407605,7.805871372815204,5.977,,
2024-02-08,6.073,6.613,6.703,6.033,114603.0,8.002613098154509,10.942348521966355,6.0409999999999995,,
2024-02-19,6.643,6.563,6.713,6.423,88555.0,-0.756086496295183,4.385301678512022,6.149,6.6545000000000005,
2024-02-20,6.553,6.503,6.553,6.413,47990.0,-0.9142160597287785,2.1331708060338213,6.339,6.605499999999999,
2024-02-21,6.413,6.603,6.753,6.413,61590.0,1.5377518068583784,5.228356143318466,6.481,6.567,
2024-02-22,6.533,6.633,6.673,6.533,45868.0,0.45433893684689863,2.120248371952138,6.583,6.5409999999999995,
2024-02-23,6.663,6.703,6.733,6.613,61544.0,1.055329413538364,1.8091361374943347,6.601000000000001,6.523000000000001,
2024-02-26,6.703,6.693,6.773,6.633,59303.0,-0.14918693122483173,2.0886170371475408,6.627,6.51,
2024-02-27,6.693,6.773,6.773,6.613,43573.0,1.1952786493351297,2.3905572986702412,6.681,6.522,
2024-02-28,6.773,6.503,6.983,6.503,90993.0,-3.986416654362901,7.086962941089614,6.661,6.5175,
2024-02-29,6.443,6.673,6.673,6.403,61903.0,2.6141780716592233,4.151929878517614,6.669,6.516,
2024-03-01,6.743,6.733,6.793,6.653,45280.0,0.8991458114790962,2.0980068934512297,6.675,6.505,
2024-03-04,6.763,6.733,6.853,6.623,44035.0,0.0,3.416010693598686,6.683,6.492,
2024-03-05,6.683,6.613,6.683,6.553,45109.0,-1.7822664488340911,1.9307886529036076,6.650999999999999,6.4784999999999995,
2024-03-06,6.613,6.743,6.813,6.553,54103.0,1.9658248903674513,3.9316497807349124,6.699,6.4735,
2024-03-07,6.733,6.693,6.793,6.673,47010.0,-0.7415097137772664,1.7796233130654027,6.703,6.483,
2024-03-08,6.673,6.753,6.803,6.653,40872.0,0.8964589870013473,2.2411474675033674,6.706999999999999,6.506,
2024-03-11,6.733,6.953,6.953,6.733,82316.0,2.96164667555161,3.257811343106777,6.751,6.5525,
2024-03-12,6.963,6.913,6.993,6.853,57630.0,-0.5752912411908562,2.0135193441679933,6.811,6.6205,
2024-03-13,6.913,6.983,7.013,6.853,63722.0,1.0125849848112267,2.3144799652828025,6.859,6.675,
2024-03-14,6.973,6.993,7.033,6.903,60278.0,0.1432049262494628,1.86166404124303,6.919,6.718500000000001,
2024-03-15,6.963,7.113,7.123,6.943,68912.0,1.716001716001725,2.5740025740025825,6.991,6.7435,
2024-03-18,7.113,6.983,7.123,6.863,174189.0,-1.8276395332489925,3.655279066497958,6.997,6.764500000000001,
2024-03-19,6.963,6.903,7.003,6.903,84262.0,-1.1456394099957024,1.4320492624946375,6.995,6.7844999999999995,
2024-03-20,6.933,6.913,6.943,6.873,51575.0,0.1448645516442193,1.01405186150948,6.981,6.8,
2024-03-21,6.923,6.863,6.933,6.823,56335.0,-0.7232749891508683,1.5912049761319171,6.955,6.8115000000000006,
2024-03-22,6.843,6.733,6.873,6.703,57316.0,-1.894215357715301,2.4770508523969097,6.879,6.813,
2024-03-25,6.673,6.663,6.803,6.643,45290.0,-1.0396554284865522,2.3763552651121365,6.815,6.8115,
2024-03-26,6.673,6.683,6.703,6.553,41540.0,0.3001650907999309,2.251238180999555,6.770999999999999,6.8069999999999995,
2024-03-27,6.673,6.443,6.713,6.443,41581.0,-3.59120155618734,4.0401017507107655,6.677,6.804,
2024-03-28,6.463,6.503,6.613,6.433,37812.0,0.9312432096849399,2.793729629054798,6.6049999999999995,6.7955,
2024-03-29,6.503,6.583,6.583,6.503,37236.0,1.2302014454866894,1.2302014454866994,6.575,6.787999999999999,
2024-04-01,6.623,6.733,6.743,6.593,40689.0,2.278596384627063,2.278596384627075,6.589,6.787999999999999,
2024-04-02,6.753,6.783,6.873,6.753,71526.0,0.7426110203475611,1.7822664488341022,6.609,6.7965,
2024-04-03,6.783,6.693,6.803,6.673,35714.0,-1.326846528084924,1.916556096122658,6.659000000000001,6.794,
2024-04-08,6.703,6.733,6.813,6.653,50770.0,0.5976393246675649,2.3905572986702546,6.705,6.795999999999999,
2024-04-09,6.713,6.763,6.803,6.643,53277.0,0.44556661220853666,2.3763552651121365,6.741,6.7965,
2024-04-10,6.733,6.993,7.063,6.673,220652.0,3.4008576075706065,5.766671595445803,6.793000000000001,6.7985,
2024-04-11,6.873,6.993,7.063,6.703,170397.0,0.0,5.148005148005139,6.834999999999999,6.802499999999999,
2024-04-12,6.903,6.623,6.973,6.593,140270.0,-5.291005291005291,5.4340054340054325,6.821,6.7844999999999995,
2024-04-15,6.533,6.343,6.573,6.273,120823.0,-4.227691378529375,4.529669334138618,6.743,6.752,
2024-04-16,6.283,5.943,6.383,5.923,79882.0,-6.306164275579384,7.252088916916286,6.579000000000001,6.6935,
2024-04-17,5.993,6.343,6.343,5.993,81433.0,6.730607437321234,5.889281507656061,6.449,6.661500000000001,6.6935
2024-04-18,6.373,6.153,6.403,6.133,79961.0,-2.9954280309002157,4.256660886016074,6.281000000000001,6.624,6.671333333333333
2024-04-19,6.133,6.073,6.203,6.023,46697.0,-1.3001787745814952,2.925402242808396,6.170999999999999,6.582000000000001,6.649666666666667
2024-04-22,6.033,6.103,6.143,5.963,37254.0,0.49398979087764694,2.9639387452659265,6.122999999999999,6.544,6.6321666666666665
2024-04-23,6.113,6.093,6.143,6.053,28758.0,-0.1638538423725966,1.4746845813534304,6.1530000000000005,6.5120000000000005,6.616
2024-04-24,6.233,6.163,6.313,6.133,51438.0,1.1488593467914088,2.9542097488921666,6.117,6.487,6.602833333333334
2024-04-25,6.123,6.133,6.193,6.063,38769.0,-0.48677592081778354,2.109362323543727,6.113,6.4595,6.596166666666666
2024-04-26,6.093,6.213,6.213,6.093,50164.0,1.3044187184086065,1.9566280776129157,6.141,6.448,6.589833333333333
2024-04-29,6.163,6.353,6.413,6.093,82437.0,2.2533397714469716,5.150490906164499,6.191,6.4405,6.5840000000000005
2024-04-30,6.303,6.313,6.363,6.233,49569.0,-0.6296237997796328,2.046277349283815,6.235,6.427,6.573333333333333
2024-05-06,6.363,6.543,6.553,6.363,79624.0,3.6432757801362348,3.0096626009820926,6.311,6.4174999999999995,6.565833333333333
2024-05-07,6.573,6.543,6.663,6.493,44427.0,0.0,2.598196545926944,6.393,6.405499999999999,6.5601666666666665
2024-05-08,6.533,6.503,6.643,6.493,52467.0,-0.6113403637475145,2.2925263640531783,6.4510000000000005,6.396,6.5545
2024-05-09,6.563,6.613,6.663,6.523,72172.0,1.691526987544223,2.152852529601731,6.503,6.390000000000001,6.556333333333333
2024-05-10,6.623,6.693,6.903,6.553,126537.0,1.2097383940722795,5.292605474066227,6.578999999999999,6.3865,6.563
2024-05-13,6.723,6.703,6.783,6.603,106184.0,0.14940983116689122,2.689376961004043,6.611,6.372000000000001,6.574333333333333
2024-05-14,6.613,6.743,6.803,6.583,93067.0,0.5967477248993047,3.28211248694614,6.651000000000001,6.3595,6.594166666666666
2024-05-15,6.683,6.603,6.753,6.573,60123.0,-2.076227198576308,2.6694349695980972,6.671000000000001,6.3585,6.606
2024-05-16,6.593,6.533,6.643,6.533,46713.0,-1.0601241859760635,1.6659094351052468,6.655000000000001,6.368,6.612833333333334
2024-05-17,6.533,6.613,6.633,6.513,39779.0,1.2245522730751635,1.8368284096127367,6.639,6.4015,6.612833333333334
2024-05-20,6.603,6.653,6.703,6.593,48239.0,0.6048691970361286,1.6633902918493921,6.6290000000000004,6.417,6.614333333333334
2024-05-21,6.623,6.533,6.663,6.513,33426.0,-1.8036975800390653,2.2546219750488556,6.587000000000001,6.436,6.614833333333333
2024-05-22,6.543,6.593,6.623,6.533,36318.0,0.9184142048063615,1.3776213072095491,6.585000000000001,6.462000000000001,6.6146666666666665
2024-05-23,6.583,6.373,6.583,6.363,48771.0,-3.3368724404671535,3.3368724404671584,6.553,6.475499999999999,6.610333333333333
2024-05-24,6.373,6.523,6.623,6.363,70984.0,2.3536795857523884,4.079711281970811,6.534999999999999,6.497,6.607333333333333
2024-05-27,6.533,6.593,6.663,6.523,62428.0,1.0731258623332796,2.1462517246665733,6.523000000000001,6.5185,6.605666666666666
2024-05-28,6.513,6.743,6.863,6.513,135467.0,2.2751403003185233,5.3086607007432205,6.565,6.5489999999999995,6.605166666666666
2024-05-29,6.693,6.683,6.753,6.473,89748.0,-0.889811656532713,4.1524543971526064,6.583,6.572500000000001,6.6081666666666665
2024-05-30,6.763,6.543,6.823,6.503,88780.0,-2.094867574442616,4.788268741583126,6.617,6.581999999999999,6.606
2024-05-31,6.553,6.493,6.603,6.453,58088.0,-0.7641754546843904,2.2925263640531783,6.611,6.591000000000001,6.602
2024-06-03,6.453,6.213,6.473,6.133,83127.0,-4.312336362236257,5.236408439858307,6.534999999999999,6.5745000000000005,6.593333333333334
2024-06-04,6.243,6.233,6.253,6.083,46746.0,0.32190568163528166,2.736198293899886,6.433,6.559,6.587000000000001
2024-06-05,6.233,6.083,6.233,6.083,38363.0,-2.406545804588467,2.4065458045884722,6.313,6.537999999999999,6.576
2024-06-06,6.063,5.813,6.113,5.783,63247.0,-4.438599375308239,5.424954792043401,6.167,6.498,6.561333333333334
2024-06-07,5.853,6.023,6.053,5.853,54086.0,3.612592465164277,3.4405642525374196,6.073,6.464499999999999,6.549166666666666
2024-06-11,6.063,6.053,6.193,5.963,55103.0,0.4980906524987505,3.8186950024904456,6.0409999999999995,6.4319999999999995,6.534166666666667
2024-06-12,6.053,6.053,6.083,5.933,35792.0,0.0,2.478110028085253,6.005,6.3975,6.519833333333334
2024-06-13,6.213,5.993,6.343,5.973,107146.0,-0.9912440112340937,6.112671402610278,5.987,6.367,6.503333333333333
2024-06-14,5.923,5.953,6.053,5.873,60321.0,-0.667445352911733,3.0035040881027815,6.015,6.338,6.486000000000001
2024-06-17,6.033,6.553,6.553,5.973,268868.0,10.078951789013946,9.742986729380146,6.1209999999999996,6.335,6.4766666666666675
2024-06-18,6.563,6.653,6.783,6.503,345849.0,1.5260186174271162,4.272852128795975,6.2410000000000005,6.335,6.471166666666666
2024-06-19,6.653,6.583,6.933,6.543,252331.0,-1.052156921689451,5.862017135127006,6.3469999999999995,6.3375,6.465833333333333
2024-06-20,6.533,6.383,6.653,6.363,148897.0,-3.0381285128360913,4.405286343612322,6.425,6.327,6.456999999999999
2024-06-21,6.403,6.623,6.883,6.403,217964.0,3.7599874667084476,7.519974933416895,6.559,6.3395,6.452999999999999
2024-06-24,6.533,6.453,6.733,6.393,156924.0,-2.566812622678538,5.133625245357087,6.539,6.336,6.448333333333334
2024-06-25,6.373,6.133,6.403,6.103,143380.0,-4.958933829226719,4.649000464900044,6.435,6.313000000000001,6.4395
2024-06-26,6.133,6.753,6.753,6.113,89049.0,10.109245067666727,10.435349747268868,6.468999999999999,6.3134999999999994,6.440666666666667
2024-06-27,6.953,7.173,7.433,6.783,526366.0,6.219458018658375,9.625351695542713,6.627,6.338,6.4528333333333325
2024-06-28,6.943,6.883,7.173,6.813,391950.0,-4.042938798271301,5.01882057716437,6.679,6.3549999999999995,6.4591666666666665
2024-07-01,6.893,7.013,7.103,6.893,256990.0,1.8887113177393555,3.050995205578962,6.7909999999999995,6.381,6.466333333333334
2024-07-02,6.993,7.333,7.353,6.933,387994.0,4.562954513047202,5.988877798374446,7.031000000000001,6.437,6.476333333333334
2024-07-03,7.233,7.073,7.233,7.053,198697.0,-3.5456157098049834,2.45465702986499,7.095000000000001,6.479000000000001,6.481166666666667
2024-07-04,7.033,6.953,7.073,6.883,174831.0,-1.6965926763749528,2.6862717375936715,7.051,6.522500000000001,6.485500000000001
2024-07-05,6.943,6.803,6.943,6.713,150162.0,-2.1573421544657023,3.3079246368473973,7.034999999999999,6.572,6.486666666666667
2024-07-08,6.793,6.893,7.043,6.643,179914.0,1.3229457592238703,5.87975892988388,7.011,6.6155,6.488833333333333
2024-07-09,6.823,6.863,6.943,6.513,215187.0,-0.43522414043231095,6.238212679529954,6.917,6.656000000000001,6.486666666666666
2024-07-10,6.773,6.563,6.873,6.543,163877.0,-4.371266210112202,4.808392831123416,6.815,6.6815,6.4795
2024-07-11,6.653,6.653,6.693,6.473,156188.0,1.3713240895931733,3.3521255523388658,6.755,6.714499999999999,6.48
2024-07-12,6.563,6.363,6.693,6.333,180886.0,-4.358935818427767,5.411092740117232,6.667,6.734999999999999,6.480333333333333
2024-07-15,6.363,6.303,6.373,6.213,76172.0,-0.9429514380009496,2.5145371680025166,6.549000000000001,6.722499999999999,6.4863333333333335
2024-07-16,6.303,6.253,6.373,6.203,72336.0,-0.7932730445819436,2.6971283515786126,6.427000000000001,6.702500000000001,6.484833333333333
2024-07-17,6.223,6.293,6.313,6.183,74471.0,0.639692947385262,2.0790020790020773,6.372999999999999,6.688,6.487166666666667
2024-07-18,6.233,6.363,6.363,6.043,88642.0,1.1123470522803158,5.085015096138571,6.315,6.687,6.492
2024-07-19,6.303,6.233,6.323,6.203,62904.0,-2.0430614490020593,1.8859028760018874,6.289,6.6674999999999995,6.494166666666667
2024-07-22,6.243,6.153,6.293,6.113,56681.0,-1.2834910957805201,2.8878549655061723,6.259,6.652499999999999,6.495166666666667
2024-07-23,6.173,6.003,6.193,6.003,53795.0,-2.4378352023403105,3.0879245896310663,6.2090000000000005,6.645999999999999,6.492500000000001
2024-07-24,5.953,5.983,6.063,5.943,51136.0,-0.33316674995835793,1.9990004997501267,6.147,6.6075,6.49
2024-07-25,5.953,6.033,6.083,5.923,44207.0,0.8357011532676095,2.6742436904562954,6.081,6.5504999999999995,6.487
2024-07-26,6.073,6.103,6.123,6.043,47015.0,1.1602850986242252,1.3260401127134107,6.055,6.5115,6.482833333333333
2024-07-29,6.093,6.023,6.103,5.993,38363.0,-1.3108307389808282,1.802392266098631,6.029000000000001,6.462000000000001,6.478
2024-07-30,6.033,6.003,6.043,5.923,43873.0,-0.3320604349991596,1.9923626099950211,6.029000000000001,6.3955,6.468999999999999
2024-07-31,6.023,6.183,6.183,5.963,74443.0,2.998500749625177,3.6648342495418915,6.069,6.351000000000001,6.462999999999999
2024-08-01,6.183,6.133,6.213,6.103,53031.0,-0.8086689309396711,1.7790716480672863,6.089,6.3100000000000005,6.456833333333334
2024-08-02,6.103,6.053,6.153,6.033,43998.0,-1.3044187184086065,1.956628077612901,6.078999999999999,6.2725,6.447500000000001
2024-08-05,6.033,5.863,6.103,5.863,68831.0,-3.138939368907967,3.9649760449363844,6.047000000000001,6.221,6.433666666666667
2024-08-06,5.933,6.003,6.033,5.883,50074.0,2.3878560463926224,2.5584171925635397,6.047,6.178,6.422
2024-08-07,6.043,6.023,6.063,5.943,44136.0,0.33316674995835793,1.9990004997501267,6.015,6.151,6.41
2024-08-08,6.003,6.013,6.023,5.923,37698.0,-0.1660302174995798,1.6603021749958435,5.991,6.119,6.400166666666666
2024-08-09,6.013,5.953,6.043,5.953,31064.0,-0.9978380176284607,1.496757026442705,5.971000000000001,6.0985,6.390499999999999
2024-08-12,6.053,5.943,6.093,5.923,44551.0,-0.16798252981691242,2.8557030068872824,5.987,6.0805,6.379333333333333
2024-08-13,5.933,6.013,6.033,5.883,36715.0,1.1778563015312216,2.523977788995463,5.989,6.0685,6.368666666666667
2024-08-14,6.033,5.993,6.043,5.973,25160.0,-0.33261267254282023,1.1641443538998884,5.983,6.0535,6.359666666666667
