date,ticker,ret,close,vwap,mom_5d,mom_20d,mom_60d,vol_20d,vol_60d,turnover,turnover_20d,log_amount,log_mktcap,amihud,price_pos,amplitude,gap,hit_limit,abnormal_trd
2024-01-02,000037,0.024331,8.42,8.370635025593204,,,,,,0.024311962384623655,,18.04913155936161,21.771849511882913,0.00035279443477330647,0.7575757575757575,0.03919239904988124,,0,0
2024-01-02,000060,0.011574,4.37,4.364324676998606,,,,,,0.011378171155242074,,19.03903637110092,23.516469732502916,6.236415519744317e-05,0.6000000000000018,0.02288329519450813,,0,0
2024-01-02,000301,-0.004167,9.56,9.560396767593968,,,,,,0.0035028816150197706,,19.030930190823703,24.869620813397486,2.2635783707599863e-05,0.5500000000000032,0.02092050209205032,,0,0
2024-01-02,000408,0.024073,25.95,25.96795417983505,,,,,,0.0070773972104051725,,19.486969753747818,24.43713761824401,8.28794354760495e-05,0.6555555555555539,0.03468208092485557,,0,0
2024-01-02,000539,0.022495,5.0,4.974592895125974,,,,,,0.011786662788693909,,18.82444890566107,23.826029326610684,0.0001502213691111085,0.866666666666669,0.029999999999999895,,0,0
2024-01-02,000553,-0.005764,6.9,6.92535583697494,,,,,,0.0020602025801297495,,17.25148311291693,23.43276808531754,0.00018556670894608605,0.3333333333333333,0.0173913043478261,,0,0
2024-01-02,000591,0.0,5.58,5.5932565669225545,,,,,,0.006391584577718734,,18.671644305131053,23.80579438235658,0.0,0.4000000000000036,0.008960573476702637,,0,0
2024-01-02,000630,0.009146,3.31,3.304244258218816,,,,,,0.015343993236416836,,20.09532710038185,24.459215001335455,1.7137265539794385e-05,0.7142857142857152,0.02114803625377652,,0,0
2024-01-02,000688,0.00582,10.37,10.311884070032905,,,,,,0.0028702761643416255,,17.3144839794248,23.17345484266314,0.0001759292893924388,0.7619047619047574,0.02025072324011563,,0,0
2024-01-02,000690,0.020316,4.52,4.510903658230169,,,,,,0.020316248116867608,,19.110214619380763,23.00921462483128,0.00010194770395916287,0.7142857142857134,0.030973451327433562,,0,0
2024-01-02,000792,-0.013166,15.74,15.795773379794987,,,,,,0.004125781889446074,,19.68424248516762,25.171939847481685,3.721310944560307e-05,0.0,0.017153748411690047,,0,0
2024-01-02,000831,0.001807,27.72,27.762085978603675,,,,,,0.010669437830373454,,19.487269219372777,24.10483996140461,6.219345229404838e-06,0.42857142857142444,0.01767676767676762,,0,0
2024-01-02,000862,0.014778,6.18,6.15718214428059,,,,,,0.013512039394920577,,17.546265851109222,22.458976867848417,0.00035429843623199943,0.8571428571428544,0.022653721682847988,,0,0
2024-01-02,000878,0.00551,10.95,10.948668371437487,,,,,,0.012921644677830822,,19.462573490779768,23.811564984972097,1.9438525995082376e-05,0.6470588235294087,0.015525114155251136,,0,0
2024-01-02,000932,0.027184,5.29,5.266612874794465,,,,,,0.0116414907307511,,19.864232781979908,24.321855799282385,6.417807376730582e-05,0.6666666666666666,0.04536862003780722,,0,0
2024-01-02,000960,0.007682,14.43,14.488404783401284,,,,,,0.008985013646621421,,19.182645035447614,23.890802984081464,3.585563495304905e-05,0.46666666666666745,0.02079002079002084,,0,0
2024-01-02,000966,0.022573,4.53,4.507355743354381,,,,,,0.017749155489261613,,18.46602119622585,23.24534418542394,0.00021572385745533218,0.8571428571428599,0.030905077262693086,,0,0
2024-01-02,000975,-0.010667,14.84,14.907425114477991,,,,,,0.008806875940268627,,19.60385940189109,24.44186326534209,3.2673400344723136e-05,0.43396226415094324,0.03571428571428579,,0,0
2024-01-02,001258,0.001238,8.09,8.10019786280593,,,,,,0.027851838025436008,,18.476531958223564,22.744901696971322,1.1707516394802153e-05,0.4285714285714304,0.017305315203955573,,0,0
2024-01-02,001289,0.009086,19.99,19.920374347786083,,,,,,0.021763413312359668,,17.872601050614588,25.33628775663861,0.00015718124573978664,0.6969696969696911,0.016508254127063447,,0,0
2024-01-02,002064,0.004471,6.74,6.75739356642514,,,,,,0.0032044192667651057,,18.49046832548029,24.23324425371405,4.1696184175868765e-05,0.5454545454545484,0.016320474777448118,,0,0
2024-01-02,002074,-0.023256,21.0,21.159699588392474,,,,,,0.007989569437561787,,19.22542383147924,24.347039841782717,0.0001040014845122528,0.0,0.025714285714285672,,0,0
2024-01-02,002080,-0.011307,15.74,15.796499778458044,,,,,,0.004721944841368723,,18.645195960663322,23.997147334769746,9.033201041258578e-05,0.0,0.013341804320203245,,0,0
2024-01-02,002114,0.005348,7.52,7.504793277354956,,,,,,0.0236058028051568,,17.8636513504135,21.61195200872334,9.334825374025664e-05,0.23999999999999844,0.03324468085106383,,0,0
2024-01-02,002155,0.007181,11.22,11.206977632590789,,,,,,0.012721347316797268,,18.959247086596992,23.324983413008503,4.190718975113145e-05,0.6875000000000069,0.014260249554367213,,0,0
2024-01-02,002240,-0.018462,22.33,22.46997583225891,,,,,,0.012293322687698754,,19.275903215174427,23.747754577364752,7.849831751210266e-05,0.0,0.021047917599641846,,0,0
2024-01-02,002407,-0.023653,14.86,14.988763878456325,,,,,,0.013768896825968545,,19.105736839386136,23.598819473430936,0.0001192257743932205,0.02702702702702638,0.024899057873485935,,0,0
2024-01-02,002493,-0.008696,10.26,10.307729260941478,,,,,,0.0021429899224089262,,19.161717465385163,25.36657814018923,4.144683518804803e-05,0.07692307692307482,0.012670565302144325,,0,0
2024-01-02,002497,-0.02139,12.81,12.920295797919875,,,,,,0.01583258491882186,,19.18741122416377,23.415479694479615,9.936283401982857e-05,0.0,0.02263856362217011,,0,0
2024-01-02,002532,0.011647,6.08,6.046520929981142,,,,,,0.010052370239111045,,19.268005397223494,24.06554313582305,4.9914377131604486e-05,0.6666666666666666,0.02467105263157886,,0,0
2024-01-02,002648,0.015593,14.98,14.902415821510196,,,,,,0.007810582915688238,,19.786068890376953,24.64449472312419,3.980605533149282e-05,0.7560975609756108,0.027369826435247005,,0,0
2024-01-02,002709,-0.03429,24.22,24.5166976130885,,,,,,0.01974965422233004,,20.323619351025453,24.564932389633107,5.1136588258799683e-05,0.048543689320385705,0.042526837324525085,,0,0
2024-01-02,002738,-0.023586,36.43,36.701887359643806,,,,,,0.019533086674171824,,20.0530485618039,23.995762644672176,4.610265740793361e-05,0.011235955056177532,0.02443041449354929,,0,0
2024-01-02,002756,-0.00996,51.69,51.627775492473866,,,,,,0.02551405992195537,,20.04791910756703,24.050678836145334,1.9568552294943513e-05,0.5619047619047599,0.02031340684851997,,0,0
2024-01-02,002812,-0.034319,54.87,55.52427185006616,,,,,,0.015053771688910627,,20.35803537920649,24.705735987412933,4.9448394769185025e-05,0.0,0.03553854565336255,,0,0
2024-01-02,300037,-0.019873,46.36,46.81761850582177,,,,,,0.009467031370554413,,19.29794055229725,24.2715200015708,8.265599160554716e-05,0.07284768211920502,0.03257118205349435,,0,0
