network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.00,5,0.0,gross_return,68,1,0.005089621122748401,0.027410934513040993,0.6492647058823529,0.005089621122748401,-0.000984462476316488,0.011121060952892807,0.0031608130688992584,68,2,2000,42
W-corr,alpha_0.00,5,0.0,net_return,68,1,0.005089621122748401,0.027410934513040993,0.6492647058823529,0.005089621122748401,-0.000984462476316488,0.011121060952892807,0.0031608130688992584,68,2,2000,42
W-corr,alpha_0.00,5,15.0,gross_return,68,1,0.005089621122748401,0.027410934513040993,0.6492647058823529,0.005089621122748401,-0.000984462476316488,0.011121060952892807,0.0031608130688992584,68,2,2000,42
W-corr,alpha_0.00,5,15.0,net_return,68,1,0.003141827005101342,0.02738820874104439,0.6492647058823529,0.003141827005101342,-0.0029332873939638404,0.009207991709638845,0.003165364889661639,68,2,2000,42
W-corr,alpha_0.00,20,0.0,gross_return,65,4,0.00778075944531348,0.061272326903721516,0.6457692307692307,0.00778075944531348,-0.007000513901306631,0.022928403841115105,0.007856755423072249,65,2,2000,42
W-corr,alpha_0.00,20,0.0,net_return,65,4,0.00778075944531348,0.061272326903721516,0.6457692307692307,0.00778075944531348,-0.007000513901306631,0.022928403841115105,0.007856755423072249,65,2,2000,42
W-corr,alpha_0.00,20,15.0,gross_return,65,4,0.00778075944531348,0.061272326903721516,0.6457692307692307,0.00778075944531348,-0.007000513901306631,0.022928403841115105,0.007856755423072249,65,2,2000,42
W-corr,alpha_0.00,20,15.0,net_return,65,4,0.005843451753005787,0.061258709614480454,0.6457692307692307,0.005843451753005787,-0.008985457083124813,0.0210047939647935,0.007858644350210896,65,2,2000,42
W-corr,alpha_0.05,5,0.0,gross_return,68,1,0.005866778499771498,0.028343101419672802,0.6466911764705882,0.005866778499771498,-0.00046168513658965195,0.01216107445378393,0.0032863958510347016,68,2,2000,42
W-corr,alpha_0.05,5,0.0,net_return,68,1,0.005866778499771498,0.028343101419672802,0.6466911764705882,0.005866778499771498,-0.00046168513658965195,0.01216107445378393,0.0032863958510347016,68,2,2000,42
W-corr,alpha_0.05,5,15.0,gross_return,68,1,0.005866778499771498,0.028343101419672802,0.6466911764705882,0.005866778499771498,-0.00046168513658965195,0.01216107445378393,0.0032863958510347016,68,2,2000,42
W-corr,alpha_0.05,5,15.0,net_return,68,1,0.003926704970359733,0.028317011961067392,0.6466911764705882,0.003926704970359733,-0.0024096171218837685,0.010317047694358058,0.0032902906628580635,68,2,2000,42
W-corr,alpha_0.05,20,0.0,gross_return,65,4,0.007985346167149203,0.06219303541558253,0.643076923076923,0.007985346167149203,-0.006950189852526687,0.023402259916856974,0.008031034357021885,65,2,2000,42
W-corr,alpha_0.05,20,0.0,net_return,65,4,0.007985346167149203,0.06219303541558253,0.643076923076923,0.007985346167149203,-0.006950189852526687,0.023402259916856974,0.008031034357021885,65,2,2000,42
W-corr,alpha_0.05,20,15.0,gross_return,65,4,0.007985346167149203,0.06219303541558253,0.643076923076923,0.007985346167149203,-0.006950189852526687,0.023402259916856974,0.008031034357021885,65,2,2000,42
W-corr,alpha_0.05,20,15.0,net_return,65,4,0.0060561153979184325,0.06218056585686301,0.643076923076923,0.0060561153979184325,-0.008887954381401346,0.02151462584622898,0.008033488650178883,65,2,2000,42
W-corr,alpha_0.20,5,0.0,gross_return,68,1,0.006118750878193698,0.028591223239649372,0.6470588235294117,0.006118750878193698,-0.0003497301130868459,0.012803021092285802,0.0033958161130163865,68,2,2000,42
W-corr,alpha_0.20,5,0.0,net_return,68,1,0.006118750878193698,0.028591223239649372,0.6470588235294117,0.006118750878193698,-0.0003497301130868459,0.012803021092285802,0.0033958161130163865,68,2,2000,42
W-corr,alpha_0.20,5,15.0,gross_return,68,1,0.006118750878193698,0.028591223239649372,0.6470588235294117,0.006118750878193698,-0.0003497301130868459,0.012803021092285802,0.0033958161130163865,68,2,2000,42
W-corr,alpha_0.20,5,15.0,net_return,68,1,0.004177574407605464,0.028560011612891536,0.6470588235294117,0.004177574407605464,-0.00234550320915433,0.010853434695226975,0.00339613806823405,68,2,2000,42
W-corr,alpha_0.20,20,0.0,gross_return,65,4,0.00782892217988384,0.06667213387265816,0.6449999999999999,0.00782892217988384,-0.009137833649545703,0.02456238526997182,0.008766880579644335,65,2,2000,42
