network,variant,horizon,metric,block_trading_days,is_sensitivity,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.00,5,pearson_ic,10,False,0.02237346571920248,-0.01522234035180213,0.06266043044294191,0.01973124327365548,68,2,2000,42
W-corr,alpha_0.00,5,spearman_ic,10,False,0.029237569625238685,-0.011705231352325119,0.07311596957349012,0.02176549372191599,68,2,2000,42
W-corr,alpha_0.00,5,pearson_ic,40,False,0.02237346571920248,-0.00936117424548553,0.054277768954782146,0.016462061961937904,68,8,2000,42
W-corr,alpha_0.00,5,spearman_ic,40,False,0.029237569625238685,-0.000737554243634083,0.059283481025078244,0.01538453490836706,68,8,2000,42
W-corr,alpha_0.00,5,pearson_ic,5,True,0.02237346571920248,-0.018821594396107515,0.06325647622665805,0.02093518178419427,68,1,2000,42
W-corr,alpha_0.00,5,spearman_ic,5,True,0.029237569625238685,-0.013634575979841274,0.07394952268915496,0.021904851330637316,68,1,2000,42
W-corr,alpha_0.00,5,pearson_ic,20,True,0.02237346571920248,-0.011249767173485836,0.05681053360356485,0.01735695236793276,68,4,2000,42
W-corr,alpha_0.00,5,spearman_ic,20,True,0.029237569625238685,-0.009238493061703715,0.06818820977354062,0.019800379676559277,68,4,2000,42
W-corr,alpha_0.00,20,pearson_ic,10,False,0.016146303146937352,-0.024193659460000273,0.06009919407416445,0.02184814492228175,65,2,2000,42
W-corr,alpha_0.00,20,spearman_ic,10,False,0.025206239268662445,-0.028970344410168762,0.08017064785845945,0.02843346592228939,65,2,2000,42
W-corr,alpha_0.00,20,pearson_ic,40,False,0.016146303146937352,-0.02257846637648257,0.05750925072047764,0.020399589631699567,65,8,2000,42
W-corr,alpha_0.00,20,spearman_ic,40,False,0.025206239268662445,-0.03212212581884972,0.08167033669633361,0.029116090389032772,65,8,2000,42
W-corr,alpha_0.00,20,pearson_ic,5,True,0.016146303146937352,-0.02362490170912878,0.05558976717353422,0.019882308538644835,65,1,2000,42
W-corr,alpha_0.00,20,spearman_ic,5,True,0.025206239268662445,-0.025936545416924296,0.07311610091206139,0.025315938618434237,65,1,2000,42
W-corr,alpha_0.00,20,pearson_ic,20,True,0.016146303146937352,-0.02739530221701133,0.05884623836374928,0.021872321687999057,65,4,2000,42
W-corr,alpha_0.00,20,spearman_ic,20,True,0.025206239268662445,-0.033155675012061264,0.08398898846275114,0.03008023996660666,65,4,2000,42
W-corr,alpha_0.05,5,pearson_ic,10,False,0.023704973846476022,-0.01445517371130374,0.06444135046970613,0.019947499606968414,68,2,2000,42
