network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-corr,alpha_0.00,5,68,1,98.40579710144928,0.02237346571920248,0.1732226470451531,0.12916016526043791,1.0650820079820364,68,0.029237569625238685,0.18203303391925343,0.16061683418520586,1.3244803451958427,0.28683882039970543,1.0
W-corr,alpha_0.00,20,65,4,94.05797101449275,0.016146303146937352,0.16213498044969035,0.09958556199380716,0.8028844688032374,65,0.025206239268662445,0.2041407478019588,0.12347480618183855,0.9954857128591894,0.4220415137290403,1.0
W-corr,alpha_0.05,5,68,1,98.40579710144928,0.023704973846476022,0.17480548260004972,0.13560772519196307,1.1182499492323932,68,0.03079649440942597,0.1846615467840038,0.16677264403860015,1.3752424536693677,0.26346025669929163,1.0
W-corr,alpha_0.05,20,65,4,94.05797101449275,0.016957843602941523,0.16516530320244868,0.10267194909669207,0.8277677171377199,65,0.026410815337025034,0.2069049772978005,0.1276470758797246,1.0291236265589623,0.40780206063766555,1.0
W-corr,alpha_0.20,5,68,1,98.40579710144928,0.02833667076254277,0.18054589749912417,0.1569499565210571,1.2942424973448354,68,0.03504593481704038,0.19314579053890796,0.1814480901667935,1.4962592826485734,0.19558167178470454,1.0
W-corr,alpha_0.20,20,65,4,94.05797101449275,0.019784314713887762,0.17579553584416654,0.11254162182722041,0.907339562582593,65,0.02871105252587132,0.21817920187885245,0.1315939020705264,1.060943956596942,0.36422725895637775,1.0
W-corr,alpha_0.60,5,68,1,98.40579710144928,0.04704608673860354,0.20734638696743524,0.22689610089995133,1.8710331801026032,68,0.05669276826592839,0.2285995856945345,0.248000310646599,2.0450629519638395,0.06134048216277854,1.0
W-corr,alpha_0.60,20,65,4,94.05797101449275,0.03103215077926251,0.21913902972448035,0.14160941945521383,1.141691639234857,65,0.04218725773476906,0.2610707120315949,0.1615932227957594,1.3028062125576452,0.2535822173204312,1.0
W-corr,alpha_0.75,5,68,1,98.40579710144928,0.05652675288314756,0.22326090000716398,0.2531869793651004,2.087833317906776,68,0.07111626770595438,0.2480583096332844,0.2866917371608664,2.3641206286121355,0.03681287296489444,1.0
W-corr,alpha_0.75,20,65,4,94.05797101449275,0.036040178798245504,0.2408692195636344,0.1496255057559323,1.2063193931238543,65,0.049806872226060776,0.2828764793164026,0.1760728652534977,1.4195448221551379,0.22769436288762468,1.0
W-corr,b0_alpha_0.40,5,68,1,98.40579710144928,0.03637803233085918,0.19134402788168883,0.19011846219393017,1.567757002011144,68,0.04356078094101575,0.20769619657926366,0.20973316631916045,1.7295039958582699,0.1169378531106755,1.0
W-corr,b0_alpha_0.40,20,65,4,94.05797101449275,0.02468563570668946,0.19441633018028845,0.1269730566552598,1.0236895098440189,65,0.03366216075869961,0.23657047642454734,0.14229231503211662,1.1471973193910203,0.30598195174889264,1.0
W-corr,gate_V1,5,68,1,98.40579710144928,0.03637803233085918,0.19134402788168883,0.19011846219393017,1.567757002011144,68,0.04356078094101575,0.20769619657926366,0.20973316631916045,1.7295039958582699,0.1169378531106755,1.0
W-corr,gate_V1,20,65,4,94.05797101449275,0.02468563570668946,0.19441633018028845,0.1269730566552598,1.0236895098440189,65,0.03366216075869961,0.23657047642454734,0.14229231503211662,1.1471973193910203,0.30598195174889264,1.0
W-corr,gate_V2,5,68,1,98.40579710144928,0.03637803233085918,0.19134402788168883,0.19011846219393017,1.567757002011144,68,0.04356078094101575,0.20769619657926366,0.20973316631916045,1.7295039958582699,0.1169378531106755,1.0
W-corr,gate_V2,20,65,4,94.05797101449275,0.02468563570668946,0.19441633018028845,0.1269730566552598,1.0236895098440189,65,0.03366216075869961,0.23657047642454734,0.14229231503211662,1.1471973193910203,0.30598195174889264,1.0
W-corr,gate_V3,5,68,1,98.40579710144928,0.03637803233085918,0.19134402788168883,0.19011846219393017,1.567757002011144,68,0.04356078094101575,0.20769619657926366,0.20973316631916045,1.7295039958582699,0.1169378531106755,1.0
W-corr,gate_V3,20,65,4,94.05797101449275,0.02468563570668946,0.19441633018028845,0.1269730566552598,1.0236895098440189,65,0.03366216075869961,0.23657047642454734,0.14229231503211662,1.1471973193910203,0.30598195174889264,1.0
W-ind,alpha_0.00,5,68,1,98.40579710144928,0.02237346571920248,0.1732226470451531,0.12916016526043791,1.0650820079820364,68,0.029237569625238685,0.18203303391925343,0.16061683418520586,1.3244803451958427,0.28683882039970543,1.0
W-ind,alpha_0.00,20,65,4,94.05797101449275,0.016146303146937352,0.16213498044969035,0.09958556199380716,0.8028844688032374,65,0.025206239268662445,0.2041407478019588,0.12347480618183855,0.9954857128591894,0.4220415137290403,1.0
