network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.00,5,0.0,gross_return,339,5,0.004544640570504857,0.03277957982926778,0.5162979351032448,0.004544640570504857,-0.00025456854643793065,0.009408201240537893,0.0024932962154712965,339,10,2000,42
W-corr,alpha_0.00,5,0.0,net_return,339,5,0.004544640570504857,0.03277957982926778,0.5162979351032448,0.004544640570504857,-0.00025456854643793065,0.009408201240537893,0.0024932962154712965,339,10,2000,42
W-corr,alpha_0.00,5,15.0,gross_return,339,5,0.004544640570504857,0.03277957982926778,0.5162979351032448,0.004544640570504857,-0.00025456854643793065,0.009408201240537893,0.0024932962154712965,339,10,2000,42
W-corr,alpha_0.00,5,15.0,net_return,339,5,0.0029957467651951235,0.032792724520278066,0.5162979351032448,0.0029957467651951235,-0.0018017393769010847,0.007898496531287106,0.0025005474802249424,339,10,2000,42
W-corr,alpha_0.00,20,0.0,gross_return,324,20,0.005710987543644831,0.06543918127209149,0.5144290123456791,0.005710987543644831,-0.00826197897188828,0.01867546660212152,0.006912142989211883,324,10,2000,42
W-corr,alpha_0.00,20,0.0,net_return,324,20,0.005710987543644831,0.06543918127209149,0.5144290123456791,0.005710987543644831,-0.00826197897188828,0.01867546660212152,0.006912142989211883,324,10,2000,42
W-corr,alpha_0.00,20,15.0,gross_return,324,20,0.005710987543644831,0.06543918127209149,0.5144290123456791,0.005710987543644831,-0.00826197897188828,0.01867546660212152,0.006912142989211883,324,10,2000,42
W-corr,alpha_0.00,20,15.0,net_return,324,20,0.004167700506607793,0.06537872303336276,0.5144290123456791,0.004167700506607793,-0.009797217608251913,0.017089248759141824,0.006899196185429893,324,10,2000,42
W-corr,alpha_0.05,5,0.0,gross_return,339,5,0.004650723851624333,0.03316591143858536,0.5151917404129793,0.004650723851624333,-0.0001029773467106593,0.00952707071386611,0.002494195341627174,339,10,2000,42
W-corr,alpha_0.05,5,0.0,net_return,339,5,0.004650723851624333,0.03316591143858536,0.5151917404129793,0.004650723851624333,-0.0001029773467106593,0.00952707071386611,0.002494195341627174,339,10,2000,42
W-corr,alpha_0.05,5,15.0,gross_return,339,5,0.004650723851624333,0.03316591143858536,0.5151917404129793,0.004650723851624333,-0.0001029773467106593,0.00952707071386611,0.002494195341627174,339,10,2000,42
W-corr,alpha_0.05,5,15.0,net_return,339,5,0.003105148630385395,0.033177346803821464,0.5151917404129793,0.003105148630385395,-0.0016928047640273024,0.008002210812966886,0.002501136637648075,339,10,2000,42
W-corr,alpha_0.05,20,0.0,gross_return,324,20,0.005773850740816819,0.06610197248264808,0.513425925925926,0.005773850740816819,-0.008193847926096556,0.018927766724575898,0.006950540879370841,324,10,2000,42
W-corr,alpha_0.05,20,0.0,net_return,324,20,0.005773850740816819,0.06610197248264808,0.513425925925926,0.005773850740816819,-0.008193847926096556,0.018927766724575898,0.006950540879370841,324,10,2000,42
W-corr,alpha_0.05,20,15.0,gross_return,324,20,0.005773850740816819,0.06610197248264808,0.513425925925926,0.005773850740816819,-0.008193847926096556,0.018927766724575898,0.006950540879370841,324,10,2000,42
W-corr,alpha_0.05,20,15.0,net_return,324,20,0.004233572963039042,0.06604831277397248,0.513425925925926,0.004233572963039042,-0.009707404252648464,0.01730593636104015,0.006938254990268806,324,10,2000,42
W-corr,alpha_0.20,5,0.0,gross_return,339,5,0.0046713194232376855,0.0343661209504981,0.515339233038348,0.0046713194232376855,-0.0001808013450821841,0.009776448887255724,0.0025665000652795892,339,10,2000,42
W-corr,alpha_0.20,5,0.0,net_return,339,5,0.0046713194232376855,0.0343661209504981,0.515339233038348,0.0046713194232376855,-0.0001808013450821841,0.009776448887255724,0.0025665000652795892,339,10,2000,42
