date,MKT,SMB,HML,MOM,rf,LARGE_ORDER_INFLOW,NORTHBOUND_DELTA,INST_SEAT_RATIO
2025-07-24,0.0,0.0,0.0,0.0,0.00015,0.0094507122951684,0.0098763885629245,0.3100183437524876
2025-07-25,-0.0048780487804876,0.0016023068598369,-0.0055926493649172,0.0,0.00015,-7.39645175677696e-05,0.0164926810685867,0.2835609501427555
2025-07-28,0.0024509803921568,-0.0057081637010776,-0.0116830412183722,0.0,0.00015,0.0117153280715103,-0.0175386094315616,0.3082060450436829
2025-07-29,0.0048899755501223,-0.0106539138099097,0.0073447895883594,0.0,0.00015,0.0248454478461203,-0.000190507121236,0.3243450701460958
2025-07-30,0.0,0.0150201498758856,0.0227881517754057,0.0,0.00015,-0.00151230062085,-0.0638253468013814,0.2790130458895299
2025-07-31,-0.0194647201946471,0.0197529656902769,-0.0083978936340327,-0.0068681318681318,0.00015,-0.0015120543542377,-0.0194877528266857,0.3263334058776623
2025-08-01,-0.0049627791563277,0.0023242878863187,-0.0017538828390332,-0.0060773480662983,0.00015,0.0256881922326108,-0.0040513630278632,0.3052553640688638
2025-08-04,0.0049875311720699,-0.0038699441875672,-0.0083656258312166,-0.0052413793103448,0.00015,0.0135115209372936,-0.0239556636392969,0.3329334319956815
2025-08-05,0.007444168734491,0.0029329371858719,0.0069987235837777,-0.0044198895027624,0.00015,-0.0050421157890242,0.0336482260786327,0.3092373149004657
2025-08-06,0.0024630541871923,0.0013651078435196,-0.0036094456030587,0.0,0.00015,0.0101384006537894,-0.0276028275592126,0.2913488026508671
2025-08-07,0.0,0.0016945672427747,0.0011725224347577,0.0005689900426742,0.00015,-0.0049512653921869,-0.0078008897339396,0.2977979931109573
2025-08-08,-0.0024570024570026,0.0069540944072422,0.0034214262627608,0.0039886039886039,0.00015,-0.0049859463035538,0.0036148115457218,0.3341669948232499
2025-08-11,0.0049261083743843,0.0136123867301236,0.0048842169132963,0.0084985835694051,0.00015,0.0056294340734905,0.0298254657813223,0.3412059325585745
2025-08-12,0.0073529411764705,-0.0039494587653097,-0.004007662835249,0.0059322033898304,0.00015,-0.0266992036698669,-0.0277172430235887,0.3206768211612856
2025-08-13,0.0072992700729925,-0.0251799270384879,-0.0080370687480681,0.0039548022598869,0.00015,-0.0238737674876954,0.0242632750430991,0.3542279929031853
2025-08-14,-0.0024154589371979,-0.0215950978888819,-0.0023455863120603,0.0008510638297872,0.00015,-0.0064343129386145,0.0012046612203917,0.3108559747250368
2025-08-15,0.0096852300242131,0.0027959399206475,-0.0044525647187432,-0.000558659217877,0.00015,-0.0131924668050163,-0.018630173020959,0.3453282726773184
2025-08-18,0.0071942446043165,-0.0049934699705354,-0.0172331155223746,-0.00625,0.00015,0.0067137099889291,0.0102420694852654,0.3249224170632751
2025-08-19,-0.0047619047619048,0.0102010613148023,0.0014897820384103,-0.0041152263374485,0.00015,-0.0116203611328181,0.0049811939114694,0.3385244972380322
2025-08-20,0.0143540669856461,-0.00236859986648,-0.0053698609565525,-0.0013850415512465,0.00015,-0.0191845555200293,-0.0110043375431758,0.3548496159025865
2025-08-21,0.0023584905660376,0.0017638536704235,-0.0042995777353079,0.0031073446327683,0.00015,0.0239847315338233,0.0023960416998003,0.3389521999816216
2025-08-22,0.0258823529411764,-0.0158049451843846,0.0040162298471431,0.0011204481792717,0.00015,-0.001386644507298,-0.0067062719372352,0.3506431634512711
2025-08-25,0.0183486238532111,-0.003469008882145,-0.0022386229010368,0.0022440392706872,0.00015,0.0030129230703188,0.0032703469050249,0.3805456290179008
2025-08-26,-0.0045045045045045,0.0034635696924703,-0.0014438199444845,0.0028011204481793,0.00015,-0.0193712227932018,0.0142426134904209,0.3508759682864267
2025-08-27,-0.0158371040723982,0.0081750282294722,0.0069098703449431,-0.00278940027894,0.00015,-0.0061657408678777,0.032720336322907,0.3810271964674012
