,count,mean,std,min,25%,50%,75%,max
MKT,258.0,0.000594049254662736,0.011375715552034402,-0.0336842105263158,-0.0062500810435820245,0.0,0.007339523400601,0.0337078651685391
SMB,258.0,0.000891054737819292,0.0212755505838208,-0.0576772967698865,-0.00910512945316875,0.0003894295426625,0.008742935081329724,0.0898626870849931
HML,258.0,-0.00022821290216902985,0.008646379629758387,-0.0368646020806812,-0.004240400199065625,-0.00023698074103255002,0.004187515072373075,0.0311005396908088
MOM,258.0,0.0035556738249315776,0.02368901918434638,-0.0567811934900542,-0.0049759419324636005,0.0005558654419612499,0.00733774286895405,0.1220744680851063
rf,258.0,0.00015,0.0,0.00015,0.00015,0.00015,0.00015,0.00015
LARGE_ORDER_INFLOW,258.0,0.0020442738991074605,0.014646562345214468,-0.0372961765613461,-0.008448190012039475,0.0028882919629026,0.0113325437455095,0.0597909723598208
NORTHBOUND_DELTA,258.0,0.0010413354920897112,0.019588838927421814,-0.0638253468013814,-0.012960430596192025,0.00069240091160695,0.013828783453395225,0.0625776161691047
INST_SEAT_RATIO,258.0,0.3139820602634684,0.05595455140283627,0.1708026942994307,0.27212565083088996,0.3214747405609077,0.36182122127929633,0.4202129831920932
