date,PC01,PC02,PC03,PC04,PC05
2025-07-24,-0.040832326540970992,-0.40994867069080843,0.11419845158690922,0.4100502895635989,-0.35514127084812991
2025-07-25,0.26167089247177894,-0.37153866199038554,-0.8323173277575977,0.81731330856758644,0.049694144115069741
2025-07-28,-0.34541975948898129,-0.47274842404175377,-0.96196901427947956,-0.95693250089202009,-0.27314106532265553
2025-07-29,-0.60736517949806024,-0.58516881450852987,1.1491465822840323,-0.12106900270478252,-1.2244297207185817
2025-07-30,0.046132643421502063,0.79437245811459578,1.3571380572135301,-3.2556045166738703,-0.74017203422974209
2025-07-31,0.60186545837833738,-1.3740670971929427,-0.91802343987262192,-1.1456959691313098,1.2360991356095683
2025-08-01,-0.052159072920606446,-1.4573664513580979,0.08608851175854304,-0.39620859468605368,-0.88084499299393526
2025-08-04,-0.62477721299340749,-0.44742890370928301,-0.42077878069386948,-1.3289192952633218,-0.22732022228734686
2025-08-05,-0.14248486083970988,0.63650085163219339,0.57532953645816542,1.6732939743534183,-0.17626633800620914
2025-08-06,-0.14627624969879743,-0.19140154636000015,-0.47340625298625305,-1.4722693671935376,-0.57505767099458893
2025-08-07,-0.043435654238469019,0.31837783873929132,-0.230195448600126,-0.38283211771845055,0.097518168651037684
2025-08-08,0.17031853054461912,0.11347830755415829,0.39222581967440751,0.1146330243790904,0.56391798121830694
2025-08-11,0.48404518634497606,0.05749211708081519,1.0170671499475639,1.2932174974953898,-0.070620904027933945
2025-08-12,-0.42854931170738675,1.6786927028744263,-0.83330726709098135,-1.2495748595507383,1.1588866298408407
2025-08-13,-1.0070325458132865,1.2598963458833845,-0.70827990385907846,1.4558508200121958,1.4348743251232223
2025-08-14,-0.73493449490772234,0.19244403811954111,-0.51702610300018592,0.23821254425351179,0.39512192120894002
2025-08-15,-0.4577123486355828,1.030579943474083,-0.33219993245437657,-0.96102794559572102,0.81907524631926487
2025-08-18,-0.48353895295936594,-0.31570774991165707,-1.2607483539570608,0.42745245088844419,0.099255224664348024
2025-08-19,0.090504917376126343,0.08311613381433082,0.081225169092996916,0.19738626806072099,1.0251205327126118
2025-08-20,-0.74183773626427585,1.5013006311335797,-0.38084266455766552,-0.5210818532685686,1.0278507481872248
2025-08-21,-0.054498135149074339,-0.9836688310752093,0.33747411794719034,-0.1146673985035693,-0.59676115593606593
2025-08-22,-1.3174105239377913,1.699733317030194,0.81246912720176068,-0.31193559577031671,-0.44429377164082029
2025-08-25,-0.7662505060752508,0.79845497829855805,0.67794148510260144,0.032564867595363277,0.16584923503873655
2025-08-26,0.056178103413345185,0.42154480545159634,-0.13426777230962275,0.74023485320593652,1.5406308377645228
2025-08-27,0.23156059656427574,-0.87717303443767614,1.065635727766606,1.5465136835958728,1.5064261512794184
2025-08-28,-0.98549521458339739,1.0475365595291792,0.40560051061613961,-1.2880709951573623,-0.424121475523002
2025-08-29,-2.2099582567421505,1.0995231786268405,0.64094659875338378,2.5774662981658643,0.87935148270182695
