component,eigenvalue,explained_variance_ratio,cumulative_variance_ratio
PC01,1.48970402255523,0.21198999656516826,0.21198999656516826
PC02,1.1147553413572686,0.15863351203146064,0.3706235085966289
PC03,1.0779173006198943,0.15339133236949762,0.52401484096612649
PC04,1.0040141990126128,0.14287466730135179,0.66688950826747828
PC05,0.93401893821670312,0.13291410139628604,0.79980360966376429
