date,PC5_raw
2025-07-24,-0.35514127084812991
2025-07-25,0.049694144115069741
2025-07-28,-0.27314106532265553
2025-07-29,-1.2244297207185817
2025-07-30,-0.74017203422974209
2025-07-31,1.2360991356095683
2025-08-01,-0.88084499299393526
2025-08-04,-0.22732022228734686
2025-08-05,-0.17626633800620914
2025-08-06,-0.57505767099458893
2025-08-07,0.097518168651037684
2025-08-08,0.56391798121830694
2025-08-11,-0.070620904027933945
2025-08-12,1.1588866298408407
2025-08-13,1.4348743251232223
2025-08-14,0.39512192120894002
2025-08-15,0.81907524631926487
2025-08-18,0.099255224664348024
2025-08-19,1.0251205327126118
2025-08-20,1.0278507481872248
2025-08-21,-0.59676115593606593
2025-08-22,-0.44429377164082029
2025-08-25,0.16584923503873655
2025-08-26,1.5406308377645228
2025-08-27,1.5064261512794184
2025-08-28,-0.424121475523002
2025-08-29,0.87935148270182695
2025-09-01,0.43130980907467398
2025-09-02,0.52888592331205309
2025-09-03,1.1261399642852847
2025-09-04,2.4422464666014942
2025-09-05,-1.6804661414599229
2025-09-08,1.1657850369506482
2025-09-09,1.0942827684845977
2025-09-10,0.62655946196497636
2025-09-11,0.53279579970709823
2025-09-12,1.2463728457346281
2025-09-15,1.8367113347008488
2025-09-16,1.989010011644049
2025-09-17,-0.045268086965445688
2025-09-18,0.44787037202892638
2025-09-19,0.52641020089857915
2025-09-22,0.71843105555363007
2025-09-23,0.94649492530681334
2025-09-24,1.4175903458515136
2025-09-25,1.3616953447949822
2025-09-26,1.6676274184366573
2025-09-29,-0.49534277900244006
2025-09-30,0.56834162096357843
2025-10-09,1.3201459813252669
2025-10-10,0.98458759731127021
2025-10-13,0.82967012926029016
2025-10-14,1.295099118774675
2025-10-15,-0.57726899855550051
2025-10-16,-0.48943658006615959
2025-10-17,1.2492211029639189
2025-10-20,1.024168859340854
2025-10-21,0.087905863013789332
2025-10-22,0.80405181913926371
2025-10-23,-0.88458083902615003
2025-10-24,0.56105207343254015
2025-10-27,0.42459631893624389
2025-10-28,0.95601005048121335
2025-10-29,1.0174638460948655
2025-10-30,0.47870437000037741
2025-10-31,-0.30659922157335756
2025-11-03,0.53098683217467657
2025-11-04,0.62021494227490115
2025-11-05,0.47861225251587131
2025-11-06,-0.18806430068059862
2025-11-07,-0.62950933800780051
2025-11-10,-0.7407082738119416
2025-11-11,0.71097297686090322
2025-11-12,-1.1906844993002883
2025-11-13,1.2563106475841854
2025-11-14,0.085059506939399857
2025-11-17,0.34705540198301771
2025-11-18,0.32528808437785744
2025-11-19,-0.54453520878660078
2025-11-20,1.307791636061326
2025-11-21,0.59439794841786697
2025-11-24,-0.50154862383791954
2025-11-25,-1.5083790192432289
2025-11-26,-0.29464500613221856
2025-11-27,0.38558612520995472
2025-11-28,-0.20616960060512898
2025-12-01,-1.3397428240228224
2025-12-02,0.036460837552854231
2025-12-03,0.054040075970796006
2025-12-04,-0.5891613202290743
2025-12-05,-1.0061813962631962
2025-12-08,-1.6130400756398229
2025-12-09,-0.68810578349778651
2025-12-10,0.17174365364158087
2025-12-11,0.23196476559576421
2025-12-12,0.022591159152642371
2025-12-15,-0.6029199440728763
2025-12-16,-0.73288837779568505
2025-12-17,-0.69426335744750256
2025-12-18,-0.12791719377946489
2025-12-19,0.034223202127697458
2025-12-22,-0.57179998816503586
2025-12-23,-0.66424739840170088
2025-12-24,-0.19663136670082143
2025-12-25,-0.9994029796696291
2025-12-26,-1.2444513828811508
2025-12-29,-1.4458634549288636
2025-12-30,-0.68098140830864695
2025-12-31,-0.50675002447460671
2026-01-05,-1.9181883725985747
2026-01-06,-0.50634909549703155
2026-01-07,-0.93442343132638805
2026-01-08,-0.49611354602688146
2026-01-09,-2.3188336680059338
2026-01-12,-1.3207041053327357
2026-01-13,-0.78317606835130493
2026-01-14,-0.89450741749451734
2026-01-15,-0.30704932011656849
2026-01-16,-1.9016192883217664
2026-01-19,-1.3664101696341699
2026-01-20,-1.5144218896210595
2026-01-21,-0.60004779563501487
2026-01-22,-1.8221908244259815
2026-01-23,-0.10190199321459185
2026-01-26,-1.6861340040121684
2026-01-27,-1.5874171473986287
2026-01-28,-0.6598169725903722
2026-01-29,-1.3846764768545261
2026-01-30,-0.87557007543407595
2026-02-02,0.14045805056514377
2026-02-03,-0.60000472756602075
2026-02-04,-1.2180373850041573
2026-02-05,-0.34947559765897396
2026-02-06,-0.84730795973458994
2026-02-09,-0.40654529792666938
2026-02-10,-1.7595036641742618
2026-02-11,-0.56644681838236566
2026-02-12,-0.95495625284617547
2026-02-13,-0.3781117523867728
2026-02-24,-0.12331463959734615
2026-03-11,-0.5996015168073604
2026-03-12,-1.572397475777557
2026-03-13,0.25853236482306563
2026-03-16,-0.67116781723422136
2026-03-17,-0.40860818067397559
2026-03-18,-1.7509910077090698
2026-03-19,1.0423893900775543
2026-03-20,0.005482952977307296
2026-03-23,0.44540590406844799
2026-03-24,-0.77967662616853206
2026-03-25,-1.176357352237863
2026-03-26,-0.20170461985660146
2026-03-27,-0.93131120365089282
2026-03-30,-0.79544143213985241
2026-03-31,-0.4752722328250279
2026-04-01,-0.70216371297319369
