date,PC05,PC05_z,pca_version
2025-09-10,0.62655946196497636,0.64957266839681571,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-11,0.53279579970709823,0.55236511510171871,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-12,1.2463728457346281,1.292151478619648,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-15,1.8367113347008488,1.9041727963291033,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-16,1.989010011644049,2.0620653252601069,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-17,-0.045268086965445688,-0.046930760491823077,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-18,0.44787037202892638,0.46432042019176528,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-19,0.52641020089857915,0.54574497653681242,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-22,0.71843105555363007,0.74481865831466554,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-23,0.94649492530681334,0.98125919657719385,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-24,1.4175903458515136,1.4696577093584862,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-25,1.3616953447949822,1.4117097136926517,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
